OSMadre,tipoComponente,modelo,estado,fechaLlegada,fechaPrometida,fechaTermino,NParte,serieComp,serieEquipo,tipoOrden,tipoReparacion,horasComp
505900813700,CO,797F,DESPACHO,2020-09-01,2020-09-13 00:00:00,2020-09-13,20R0132,J2C00118,LAJ00261,Programado,Overhaul,13629.0
505900815800,TR,797F,TERMINADO,2020-09-02,2020-11-23 00:00:00,2020-11-17,20R3632,JH500185,LAJ00219,Programado,Overhaul,19523.0
505900817300,TR,797B,DESPACHO,2020-09-03,2020-12-01 00:00:00,2020-12-01,0R9813,10065700,JSM00465,Programado,Overhaul,55.0
505900817400,DI,797B,DESPACHO,2020-09-03,2020-11-02 00:00:00,2020-10-14,2912627,JEC00124,JSM00445,Programado,Overhaul,21073.0
505900818600,DI,797F,TERMINADO,2020-09-03,2020-11-03 00:00:00,2020-10-05,2912627,10134640,LAJ00250,Programado,Overhaul,7781.0
505900818400,TR,797B,DESPACHO,2020-09-03,2020-12-11 00:00:00,2020-12-09,0R9813,10223896,JSM00410,Programado,Overhaul,15246.0
505900818500,MA,797B,DESPACHO,2020-09-03,2020-10-20 00:00:00,2020-10-06,1925826EX,CRA05664,JSM00319,Evento,Overhaul,22270.0
505900819400,TR,797F,DESPACHO,2020-09-04,2020-11-19 00:00:00,2020-11-16,20R8719,MNY00440,LAJ00496,Programado,Overhaul,15514.0
505900819500,MA,797B,DESPACHO,2020-09-04,2020-09-30 00:00:00,2020-09-29,1925826EX,CRA05615,JSM00294,Evento,Overhaul,15246.0
505900820000,CO,793D,DESPACHO,2020-09-08,2020-10-18 00:00:00,2020-10-13,10R5398,T5C01749,FDB01717,Evento,Overhaul,20301.0
505900819900,MO,24M,DESPACHO,2020-09-08,2020-11-29 00:00:00,2020-11-29,20R1730,TXH05825,B9K00463,Programado,Overhaul,12000.0
505900820900,MF,797F,DESPACHO,2020-09-08,2020-09-22 00:00:00,2020-09-22,0R9814,10202189,LAJ00249,Programado,Proceso Continuo,31772.0
505900821000,MF,797B,DESPACHO,2020-09-08,2020-09-30 00:00:00,2020-09-28,0R9814,DWT00135,JSM00392,Evento,Proceso Continuo,17697.0
505900821100,DI,793D,DESPACHO,2020-09-08,2020-10-30 00:00:00,2020-10-08,1936222EX,325813817,FDB01717,Programado,Overhaul,20301.0
505900823000,MO,797F,DESPACHO,2020-09-09,2020-12-15 00:00:00,2020-12-05,20R7015,AJ800100,LAJ00473,Evento,Overhaul,7.0
505900823400,MA,797B,TERMINADO,2020-09-11,2020-09-24 00:00:00,2020-09-24,1925826EX,CRA05059,JSM00294,Programado,Proceso Continuo,19779.0
505900823500,MA,797F,TERMINADO,2020-09-11,2020-11-15 00:00:00,2020-11-15,2922171,CRA08000,LAJ00181,Evento,Overhaul,18041.0
505900849300,MA,797F,DESPACHO,2020-09-15,2020-11-30 00:00:00,2020-11-29,2922171EX,CRA09665,LAJ00235,Evento,Overhaul,5477.0
505900827000,CO,797F,DESPACHO,2020-09-16,2020-11-08 00:00:00,2020-11-04,3171017,T1H00231,LAJ00172,Evento,Proceso Continuo,22263.0
505900829400,DI,854K,DESPACHO,2020-09-15,2020-11-05 00:00:00,2020-10-16,3168335,DFN00192,7PZ01546,Programado,Overhaul,4056.0
505900829200,DI,854K,DESPACHO,2020-09-15,2020-11-05 00:00:00,2020-10-19,3168323,CRA10504,22100388,Programado,Overhaul,13566.0
505900829300,DI,854K,DESPACHO,2020-09-15,2020-11-05 00:00:00,2020-10-13,3168335,DFN00122,H9K00320,Programado,Overhaul,12600.0
505900826900,MF,797B,DESPACHO,2020-09-16,2020-09-29 00:00:00,2020-09-29,0R9814,10176553,JSM00247,Programado,Proceso Continuo,22587.0
505900829100,CO,797F,DESPACHO,2020-09-15,2020-09-28 00:00:00,2020-09-28,20R0132,10300085,LAJ00250,Programado,Proceso Continuo,8299.0
505900828400,MA,797B,DESPACHO,2020-09-15,2020-10-25 00:00:00,2020-10-18,1925826EX,CRA05199,JSM00173,Evento,Proceso Continuo,30064.0
505900829700,MF,797F,DESPACHO,2020-09-15,2020-11-09 00:00:00,2020-10-30,0R9814,400813854,LAJ00654,Programado,Overhaul,14237.0
505900829900,TR,D11T,TERMINADO,2020-09-16,2020-10-30 00:00:00,2020-10-22,0R4057,RTA0526,GEB00764,Evento,Overhaul,9592.0
505900830000,MF,797B,DESPACHO,2020-09-17,2020-10-03 00:00:00,2020-10-02,0R9814,AD00169,JSM00247,Programado,Proceso Continuo,22587.0
505900830100,MF,797B,TERMINADO,2020-09-16,2020-11-16 00:00:00,2020-10-21,0R9814,AD00356,JSM00233,Programado,Overhaul,13067.0
505900829800,TR,D11T,TERMINADO,2020-09-16,2020-11-11 00:00:00,2020-10-19,3523191,RTA0321,GEB00764,Evento,Overhaul,4684.0
505900830500,MF,797B,DESPACHO,2020-09-17,2020-10-07 00:00:00,2020-10-06,0R9814,7002329,JSM00186,Programado,Proceso Continuo,20000.0
505900830600,MF,797B,DESPACHO,2020-09-17,2020-10-12 00:00:00,2020-10-12,0R9814,310113818,JSM00189,Programado,Proceso Continuo,11659.0
505900830700,MA,797F,TERMINADO,2020-09-17,2020-10-30 00:00:00,2020-10-30,2922171EX,401613855,LAJ00618,Evento,Proceso Continuo,26003.0
505900830800,TR,777F,TERMINADO,2020-09-17,2020-10-30 00:00:00,2020-10-22,10R8424,LSP03652,JRP01753,Evento,Overhaul,12502.0
505900832800,MA,797F,DESPACHO,2020-09-21,2020-10-03 00:00:00,2020-09-30,2922171EX,401613794,LAJ00611,Programado,Proceso Continuo,28668.0
505900832900,MA,797F,DESPACHO,2020-09-21,2020-11-22 00:00:00,2020-11-16,2922171EX,CRA08371,LAJ00216,Evento,Proceso Continuo,31091.0
505900835700,MA,797B,TERMINADO,2020-09-25,2020-11-22 00:00:00,2020-11-16,1925826EX,CRA08390,JSM00190,Evento,Overhaul,22445.0
505900836800,MA,797F,DESPACHO,2020-10-05,2020-11-30 00:00:00,2020-11-16,2922171EX,CRA07971,LAJ00186,Evento,Overhaul,2054.0
505900838200,MO,797B,DESPACHO,2020-09-29,2020-12-28 00:00:00,2020-12-22,10R7929,3TN00795,JSM00165,Programado,Overhaul,15040.0
505900838900,TR,797F,DESPACHO,2020-09-29,2020-12-06 00:00:00,2020-12-01,20R3632,JH5R7682,LAJ00497,Programado,Overhaul,17099.0
505900838800,MF,797B,TERMINADO,2020-09-29,2020-11-19 00:00:00,2020-11-06,0R9814,104384,JSM00294,Programado,Overhaul,14715.0
505900839400,MF,797B,TERMINADO,2020-09-30,2020-10-14 00:00:00,2020-10-14,0R9814,DWT00958,JSM00473,Programado,Proceso Continuo,13449.0
505900840400,MF,797F,DESPACHO,2020-10-01,2020-11-22 00:00:00,2020-11-11,0R9814,10286300,LAJ00611,Programado,Overhaul,28898.0
505900841900,CO,797F,TERMINADO,2020-10-01,2020-11-02 00:00:00,2020-11-02,20R0132,10246816,LAJ00247,Programado,Overhaul,14930.0
505900842000,TR,797B,DESPACHO,2020-10-01,2021-01-25 00:00:00,2020-12-15,0R9813,10196393,JSM00124,Programado,Overhaul,6155.0
505900842900,MF,797B,DESPACHO,2020-10-01,2020-10-17 00:00:00,2020-10-16,0R9814,31110019,JSM00181,Programado,Proceso Continuo,11111.0
505900841800,CO,797F,DESPACHO,2020-10-01,2020-10-14 00:00:00,2020-10-13,20R0132,T1H00036,LAJ00181,Programado,Proceso Continuo,24598.0
505900843800,MA,797B,DESPACHO,2020-10-02,2020-10-14 00:00:00,2020-10-13,1925826EX,CRA05349,JSM00410,Programado,Proceso Continuo,20840.0
505900843900,CO,797B,DESPACHO,2020-10-02,2020-10-15 00:00:00,2020-10-13,0R9812,10114826,JSM00464,Programado,Proceso Continuo,15905.0
505900843700,MA,797B,DESPACHO,2020-10-02,2020-10-13 00:00:00,2020-10-13,1925826EX,CR08248,JSM00410,Programado,Proceso Continuo,27468.0
505900845200,MO,797B,DESPACHO,2020-10-06,2021-01-04 00:00:00,2020-12-31,10R7929,XEE00114,JSM00460,Programado,Overhaul,16139.0
