OS,cliente,tipoComponente,modelo,estado,fechaLlegada,fechaPrometida,fechaTermino,NParte,serieComp,serieEquipo,tipoOrden,tipoReparacion,horasComp
NP20659,EL ABRA,TR,793B,DESPACHO,2008-07-11,2008-11-14 00:00:00,2008-11-11,0R4008,100611198,1HL00304,,Puntual,8976.0
N20289A,CONTRATO MEL,MA,797B,DESPACHO,2008-07-11,2008-10-11 00:00:00,2008-11-13,1925826,CRA04825,JSM00190,,Puntual,18997.0
N20319A,CONTRATO MEL,MA,797B,DESPACHO,2008-07-11,2008-12-11 00:00:00,2008-11-20,1925826,CRA05757,JSM0001,,Puntual,1.0
CI08462,INTERCAMBIO,TR,793C,TERMINADO,2008-08-11,2008-03-12 00:00:00,2009-04-23,0R4749,4GX01024,4AR00102,,Overhaul,11400.0
CI08560,INTERCAMBIO,TR,789B,DESPACHO,2008-11-08,2008-12-05 00:00:00,2010-05-20,0R4007,2BE002841,7EK00210,,Overhaul,27000.0
CI08554,INTERCAMBIO,TR,793B,DESPACHO,2008-08-11,2008-03-12 00:00:00,2010-05-20,0R4008,10088138,1HL00107,,Overhaul,11102.0
CI08565,INTERCAMBIO,TR,777D,DESPACHO,2008-08-11,2008-05-12 00:00:00,2009-01-05,0R4005,1FX04837,AGC01928,,Overhaul,14300.0
NP20655,ESCONDIDA,MO,797B,TERMINADO,2008-09-11,2008-11-19 00:00:00,2009-01-14,10R7929,NPM00155,JSM00165,,Puntual,50.0
NP20663,ESCONDIDA,MO,797B,DESPACHO,2008-11-09,2008-11-15 00:00:00,2008-11-11,10R1433,NPM00165,JSM,,Puntual,1.0
NP20662,ESCONDIDA,MO,797,TERMINADO,2008-11-09,,2009-01-06,0R8668,CND00422,5YW,,Puntual,1.0
NP20664,INTERCAMBIO GARANTIA,TR,994D,DESPACHO,2008-11-10,2009-05-15 00:00:00,2009-05-19,0R9547,10010767,3TZ00261,,Overhaul,1343.0
NP20656,ESCONDIDA,MA,797B,TERMINADO,2008-11-10,2008-12-31 00:00:00,2009-04-23,1925826,CRA06304,JSM00249,,Overhaul,10844.0
NP20660,SPENCE,MF,793C,TERMINADO,2008-10-11,2008-12-02 00:00:00,2009-04-23,2088786,CRA06308,ATY00916,,Overhaul,20023.0
NP20634,MINERA ZALDIVAR,DI,966F,DESPACHO,2008-10-11,2009-01-15 00:00:00,2010-05-20,9C8187,CRA06306,1SL00906,,Puntual,5000.0
NP20635,MINERA ZALDIVAR,DI,966F,DESPACHO,2008-10-11,2008-12-31 00:00:00,2010-05-20,9C8187,CRA06302,1SL00906,,Puntual,5000.0
NP20641,CERRO COLORADO,CO,994D,TERMINADO,2008-10-11,2008-11-17 00:00:00,2009-04-23,0R9549,10078593,3TZ00282,,Puntual,3982.0
NP20661,CENTRO DE SERVICIOS LA NEGRA,TR,834G,DESPACHO,2008-10-11,2008-11-17 00:00:00,2008-11-13,1376229,3YN01066,BPC00178,,Puntual,1.0
NP20625,SANTA BARBARA,DI,994,DESPACHO,2008-11-10,2008-12-31 00:00:00,2009-01-02,1191792,CRA05790,9YF00116,,Puntual,1.0
NP20636,EPSA,TR,789C,DESPACHO,2008-11-10,2009-03-31 00:00:00,2010-05-20,0R4008,6LE01725,2BW00931,,Puntual,2204.0
NP20637,EPSA,TR,994F,TERMINADO,2008-11-10,2008-12-23 00:00:00,2009-04-23,2398137,CRA06310,44200176,,Overhaul,14592.0
NP20616,CENTRO DE SERVICIOS LA NEGRA,DI,994,DESPACHO,2008-10-11,2008-12-31 00:00:00,2008-12-28,1113192,S/N,9YF00194,,Overhaul,22234.0
N20035A,CERRO COLORADO,DI,789B,TERMINADO,2008-11-11,2008-08-12 00:00:00,2009-04-23,1256046,CRA02254,7EK00640,,Overhaul,11750.0
N20621A,ESCONDIDA,MO,D11R,TERMINADO,2008-11-11,2009-01-29 00:00:00,2010-05-20,155556,2GR07447,7PZ01516,,Overhaul,10248.0
EC09962,ESCONDIDA,TR,D11R,DESPACHO,2008-11-11,2009-01-23 00:00:00,2009-01-19,1169770,1SY02527,7PZ01602,,Overhaul,5208.0
N19831A,INTERCAMBIO GARANTIA,MF,789C,DESPACHO,2008-11-11,2008-11-25 00:00:00,2008-11-11,1905061,CRA05684,2BW00932,,Overhaul,579.0
NP20665,SPENCE,MO,793C,DESPACHO,2008-11-11,2009-03-24 00:00:00,2010-05-20,1470797,8WM00695,ATY00888,,Overhaul,2326.0
NP20668,ESCONDIDA,MF,793C,TERMINADO,2008-12-11,2008-11-30 00:00:00,2009-04-23,0R9049,S/N,4AR,,Puntual,1.0
NP20669,ESCONDIDA,MF,793C,TERMINADO,2008-12-11,2008-11-30 00:00:00,2009-04-23,0R9049,S/N,4AR,,Puntual,1.0
NP20457,INTERCAMBIO,MA,785C,DESPACHO,2008-11-13,2008-12-31 00:00:00,2008-12-09,6G9270,SIN SERIE,APX00510,,Puntual,1.0
NP20680,INTERCAMBIO GARANTIA,MO,793C,DESPACHO,2008-11-13,2009-05-02 00:00:00,2009-05-04,0R7568,KNS00457,4AR00131,,Overhaul,7720.0
NP20667,INTERCAMBIO,CO,834G,DESPACHO,2008-11-13,2008-11-19 00:00:00,2008-11-20,0R4827,10087179,BPC00180,,Puntual,1.0
BA38722,SANTA BARBARA,MO,16G,DESPACHO,2008-11-13,2008-11-17 00:00:00,2008-11-16,7W5178,11N17405,93U03527,,Overhaul,1709.0
NP20687,SANTA BARBARA,TR,994,DESPACHO,2008-11-14,2009-06-02 00:00:00,2010-05-20,9U8883T,3AX00752,9YF00096,,Puntual,165.0
NP20679,EL TESORO,MO,16H,DESPACHO,2008-11-14,2008-11-17 00:00:00,2008-12-05,1107949,5ED02387,ATS,,Puntual,1.0
N20203A,I.C.V.,MO,789C,TERMINADO,2008-11-14,2009-02-23 00:00:00,2010-05-20,1008089,8WM01340,2BW01229,,Overhaul,7558.0
NP00020,I.C.V.,MO,789C,TERMINADO,2008-11-14,2100-12-31 00:00:00,2008-11-15,1008089,8WM01340,2BW01229,,Puntual,7558.0
NP20690,SPENCE,MO,D10T,TERMINADO,2008-11-14,2008-11-17 00:00:00,2008-12-08,2122744,EHX02159,RJG00150,,Overhaul,4.0
N20563A,EL ABRA,MA,793C,DESPACHO,2008-11-15,2009-01-31 00:00:00,2009-02-16,NP20563,CRA04024,1HL75001,,Overhaul,10000.0
NP20695,SANTA BARBARA,MF,994,DESPACHO,2008-11-16,2008-12-31 00:00:00,2010-05-20,0R9601,CRA06311,9YF00116,,Puntual,1000.0
NP20692,CERRO COLORADO,MA,793D,DESPACHO,2008-11-16,2008-11-19 00:00:00,2008-12-05,2527174,SIN SERIE,FDB00495,,Puntual,1.0
NP20694,RADOMIRO TOMIC,CO,793C,DESPACHO,2008-11-16,2008-11-24 00:00:00,2009-01-29,0R4090,CRA03230,4AR00351,,Overhaul,13649.0
NP20670,SANTA BARBARA,MF,994,DESPACHO,2008-11-16,2009-01-29 00:00:00,2010-05-20,0R9601,CRA06317,9YF00109,,Overhaul,16057.0
NP20671,SANTA BARBARA,MO,994,DESPACHO,2008-11-16,2009-04-11 00:00:00,2009-03-20,0R3955,54Z01173,9YF00110,,Puntual,3288.0
NP20638,RADOMIRO TOMIC,DI,793C,TERMINADO,2008-11-16,2008-12-31 00:00:00,2009-04-23,1350471C,CRA05431,4AR00355,,Overhaul,2057.0
NP20675,CODELCO CHUQUI,MO,16G,TERMINADO,2008-11-16,2009-01-20 00:00:00,2009-04-23,7W5178,11N6825,93U,,Overhaul,10000.0
NP20686,SANTA BARBARA,MF,789B,TERMINADO,2008-11-16,2009-01-29 00:00:00,2009-04-23,0R9043,10107753,7EK00194,,Overhaul,3410.0
NP20688,SANTA BARBARA,TR,994,DESPACHO,2008-11-16,2009-11-20 00:00:00,2009-11-05,9U8883,CRA06360,9YF00109,,Overhaul,1059.0
NP20706,MARICUNGA,TR,994,TERMINADO,2008-11-17,2008-11-30 00:00:00,2009-04-23,OR4017,3AX00757,9YF00221,,Overhaul,4897.0
NP20673,CONTRATO MEL,CO,797B,TERMINADO,2008-11-17,2009-01-28 00:00:00,2009-04-23,2844239,T6B00027,JSM00257,,Overhaul,9707.0
NP20674,CONTRATO MEL,TR,797B,DESPACHO,2008-11-17,2009-01-31 00:00:00,2010-05-20,2844290,DSP00325,JSM00257,,Overhaul,9707.0
NP20689,ESCONDIDA,MF,24H,DESPACHO,2008-11-17,2009-01-07 00:00:00,2010-05-20,1659955,CRA06036,7KK00099,,Overhaul,1734.0
NP20707,SUC. COQUIMBO,TR,D10R,DESPACHO,2008-11-17,2008-11-18 00:00:00,2008-11-20,0R4047,10045615,AKT,,Puntual,1.0
NP20682,SPENCE,TR,793C,TERMINADO,2008-11-17,2008-12-31 00:00:00,2008-12-28,9U9822,4GX01859,ATY00968,,Overhaul,17838.0
NP20683,SPENCE,DI,793C,TERMINADO,2008-11-17,2008-12-31 00:00:00,2008-12-28,2034000,CRA06320,ATY00888,,Overhaul,19330.0
CI08626,INTERCAMBIO SQM,MF,D10R,DESPACHO,2008-11-17,2008-12-31 00:00:00,2008-12-12,0R8504,CRA06314,3KR00596,,Overhaul,22993.0
CI08627,INTERCAMBIO SQM,MF,D10R,DESPACHO,2008-11-17,2008-12-31 00:00:00,2010-05-20,0R8504,10065493,3KR00596,,Overhaul,9128.0
NP20684,SPENCE,TR,793C,DESPACHO,2008-11-17,2008-12-31 00:00:00,2009-01-02,9U9822,4GX01936,ATY00888,,Overhaul,19330.0
OC02002,EPSA,MF,789C,TERMINADO,2008-11-18,2009-02-10 00:00:00,2010-05-20,2576310,SIN SERIE,2BW01251,,Puntual,6845.0
N20336A,BOLIVIA,MF,789C,TERMINADO,2008-11-19,2008-12-22 00:00:00,2009-04-23,1981904,CRA06212,2BW001076,,Puntual,12620.0
LN03514,CENTRO DE SERVICIOS LA NEGRA,MA,797B,DESPACHO,2008-11-19,2100-12-31 00:00:00,2008-12-19,1925826,S/N,JSM00383,,Puntual,1.0
CI08586,INTERCAMBIO,MA,797,DESPACHO,2008-11-19,2008-12-24 00:00:00,2008-11-24,1925726,CRA03815,5YW00225,,Overhaul,22878.0
CI08534,INTERCAMBIO,MA,797B,DESPACHO,2008-11-19,2008-12-25 00:00:00,2009-01-02,1925826,CRA06327,JSM00247,,Overhaul,10533.0
NP20714,MINERA ZALDIVAR,DI,16G,DESPACHO,2008-11-20,2008-11-30 00:00:00,2008-11-25,8D4290,CRA06216,93U03674,,Puntual,1.0
NP20713,MINERA ZALDIVAR,TR,16G,DESPACHO,2008-11-20,2008-11-30 00:00:00,2008-11-23,8E3039,2DA02306,93U03674,,Puntual,1.0
CI08607,INTERCAMBIO,DI,16H,TERMINADO,2008-11-20,2008-12-31 00:00:00,2009-04-23,8D4290,CRA02574,6ZJ00619,,Overhaul,15330.0
CI08606,INTERCAMBIO,DI,793B,TERMINADO,2008-11-20,2008-12-31 00:00:00,2009-04-23,1350471,CRA01811,1HL00509,,Overhaul,4911.0
CI08611,INTERCAMBIO,CO,793B,DESPACHO,2008-11-20,2008-12-31 00:00:00,2009-01-02,0R4088,CRA01932,1HL75002,,Overhaul,10230.0
CI08589,INTERCAMBIO,MF,777D,DESPACHO,2008-11-20,2008-12-31 00:00:00,2008-12-23,0R9031,10085660,AAGC01217,,Overhaul,13500.0
CI08590,INTERCAMBIO,DI,789B,DESPACHO,2008-11-20,2008-12-31 00:00:00,2008-12-22,1256046,CRA02166,7EK00590,,Overhaul,11450.0
CI08596,INTERCAMBIO,CO,789C,DESPACHO,2008-11-20,2008-12-31 00:00:00,2008-12-23,0R4085,1010018217,2BW00529,,Overhaul,15230.0
N18563A,EL ABRA,DI,793B,DESPACHO,2008-11-20,2008-11-20 00:00:00,2008-11-20,1350471,CRA06288,1HL00370,,Puntual,18822.0
CI08620,INTERCAMBIO,MF,789B,DESPACHO,2008-11-20,2008-12-31 00:00:00,2009-01-02,0R9043,CRA04705,7EK00639,,Overhaul,11300.0
CI08609,INTERCAMBIO,MF,773D,DESPACHO,2008-11-20,2008-12-31 00:00:00,2008-12-23,8X9972,CRA02503,7ER00280,,Overhaul,14288.0
CI08608,INTERCAMBIO,MF,773D,DESPACHO,2008-11-20,2008-12-31 00:00:00,2008-12-23,8X9972,CRA02273,7ER00280,,Overhaul,14288.0
CI08604,INTERCAMBIO,MF,994D,DESPACHO,2008-11-20,2008-12-31 00:00:00,2008-12-26,0R9601,CRA06331,3TZ00328,,Overhaul,20525.0
CI08603,INTERCAMBIO,MF,994D,DESPACHO,2008-11-20,2008-12-31 00:00:00,2008-12-22,0R9601,CRA06336,3TZ00323,,Overhaul,20525.0
CI08632,INTERCAMBIO,MF,797B,DESPACHO,2008-11-20,2008-12-31 00:00:00,2009-01-02,0R9814,404380,JSM00165,,Overhaul,10131.0
CI08633,INTERCAMBIO,MF,797B,DESPACHO,2008-11-20,2008-12-31 00:00:00,2009-01-02,0R9814,603338,JSM00143,,Overhaul,14500.0
CI08585,INTERCAMBIO,MF,797B,TERMINADO,2008-11-20,2008-12-31 00:00:00,2009-04-23,0R9814,806151,JSM00247,,Overhaul,10569.0
CI08595,INTERCAMBIO,MF,797B,DESPACHO,2008-11-20,2008-12-31 00:00:00,2009-01-02,0R9814,799035,JSM00177,,Overhaul,25514.0
CI08532,INTERCAMBIO,MA,797B,DESPACHO,2008-11-20,2008-12-24 00:00:00,2009-01-02,1925826,SIN SERIE,JSM00291,,Overhaul,2453.0
CI08582,INTERCAMBIO,CO,797B,TERMINADO,2008-11-20,2008-12-31 00:00:00,2009-04-23,0R9812,10098627,JSM00245,,Overhaul,10987.0
NP20453,CENTRO DE SERVICIOS LA NEGRA,CO,793B,DESPACHO,2008-11-21,2008-11-30 00:00:00,2008-12-05,0R4088,10103965,1HL00147,,Puntual,3107.0
NP20716,EL ABRA,MO,793B,DESPACHO,2008-11-21,2009-09-26 00:00:00,2009-10-29,0R3959,7CL01876,1HL00304,,Puntual,2520.0
CI08584,INTERCAMBIO,CO,797B,TERMINADO,2008-11-21,2009-01-14 00:00:00,2009-04-27,1875008,CAG00013,JSM00176,,Overhaul,21678.0
NP20712,ESCONDIDA,TR,D11R,DESPACHO,2008-11-21,2009-02-20 00:00:00,2010-05-21,1169770,1SY01759,7PZ00655,,Overhaul,7600.0
N20568A,ESCONDIDA,MO,797B,TERMINADO,2008-11-21,2008-11-25 00:00:00,2008-12-02,2095259,3TN00800,JSM,,Puntual,1.0
NP20720,RADOMIRO TOMIC,MO,793C,DESPACHO,2008-11-22,2100-12-31 00:00:00,2008-11-27,0R8842,7DS00544,4AR00353,,Puntual,10464.0
NP20543,EL ABRA,MO,D10N,DESPACHO,2008-11-22,2009-12-07 00:00:00,2009-11-26,0R7315,73W16160,2YD01107,,Puntual,11300.0
NP20719,MARICUNGA,CO,994,DESPACHO,2008-11-22,2008-11-25 00:00:00,2008-12-02,0R4087S,CRA06038,9YF00221,,Puntual,1.0
NP20697,ESCONDIDA,MO,797B,DESPACHO,2008-11-23,2008-11-30 00:00:00,2008-12-05,10R1433,NPM00173,JSM,,Puntual,1.0
NP20699,ESCONDIDA,MO,797B,DESPACHO,2008-11-23,2008-11-27 00:00:00,2008-12-03,10R7929,NPM00176,JSM,,Puntual,1.0
NP20700,ESCONDIDA,MO,797B,DESPACHO,2008-11-23,2008-11-28 00:00:00,2008-12-05,2095259,3TN00840,JSM,,Puntual,1.0
NP20701,ESCONDIDA,MO,797B,DESPACHO,2008-11-23,2008-11-28 00:00:00,2008-11-30,2095259,3TN00848,JSM,,Puntual,1.0
NP20725,ESCONDIDA,TR,834G,DESPACHO,2008-11-24,2009-02-28 00:00:00,2010-05-21,1376229,3NY00990,BPC00184,,Overhaul,21182.0
NP20726,SPENCE,MA,793C,TERMINADO,2008-11-24,2008-12-23 00:00:00,2009-04-23,1255938,CRA06333,ATY00870,,Overhaul,20428.0
NP20727,SPENCE,MO,793D,DESPACHO,2008-11-24,2009-01-18 00:00:00,2010-05-20,10R2852,8WM00996,FDB00158,,Overhaul,12586.0
NP20731,CANDELARIA,MO,793C,DESPACHO,2008-11-25,2009-05-13 00:00:00,2009-05-06,0R7568,CPW00983,4AR00131,,Puntual,1.0
CI08624,INTERCAMBIO ESEVA,TR,777D,DESPACHO,2008-11-26,2008-12-31 00:00:00,2009-01-02,0R4005,1FX003197,3PR00642,,Overhaul,13319.0
NP20738,SANTA BARBARA,MO,994D,DESPACHO,2008-11-26,2009-06-08 00:00:00,2009-06-03,100-8094,7TR01622,3TZ00334,,Puntual,15815.0
NP20739,SANTA BARBARA,DI,789B,DESPACHO,2008-11-26,2009-01-15 00:00:00,2010-05-21,1043931,CRA00201,7EK00211,,Puntual,23327.0
NP20728,SPENCE,DI,793C,DESPACHO,2008-11-27,2009-03-25 00:00:00,2010-05-21,2034000,CRA05969,ATY00920,,Overhaul,3111.0
N20111B,SANTA BARBARA,MO,824C,TERMINADO,2008-11-28,2009-01-15 00:00:00,2009-04-23,1005082,11N10977,85X01306,,Puntual,9629.0
NP20755,EL TESORO,CO,994,TERMINADO,2008-11-28,2008-12-31 00:00:00,2008-12-28,0R4087,1001869,9YF00983,,Puntual,6844.0
NP20696,CERRO COLORADO,MO,793D,DESPACHO,2008-11-28,2009-04-30 00:00:00,2010-05-21,2350300,8WM01510,FDB00545,,Puntual,5275.0
CI08443,INTERCAMBIO,DI,797,TERMINADO,2008-11-28,2009-02-14 00:00:00,2009-04-23,0R9815,146051203B,5YW00219,,Overhaul,13240.0
CI08583,INTERCAMBIO,DI,797B,TERMINADO,2008-11-28,2009-09-01 00:00:00,2009-04-23,0R9815,143042004B,JSM00169,,Overhaul,13957.0
CI08641,INTERCAMBIO,CO,797B,DESPACHO,2008-11-28,2009-01-17 00:00:00,2009-01-02,1875008,5ST00122,JSM00171,,Overhaul,12031.0
NP20736,EL TESORO,MO,769D,DESPACHO,2008-11-28,2008-12-15 00:00:00,2008-12-05,0R3966,S/N,BBB00134,,Puntual,9623.0
CI08623,INTERCAMBIO ESEVA,MF,777D,DESPACHO,2008-11-28,2009-01-05 00:00:00,2008-12-09,0R9031,CRA06334,AGC00360,,Overhaul,10562.0
CI08630,INTERCAMBIO GARDILCIC,DI,R1600G,DESPACHO,2008-11-30,2009-01-05 00:00:00,2008-12-16,1616344,CRA06332,9PP00154,,Overhaul,9347.0
N20309A,EL TESORO,TR,793C,DESPACHO,2008-11-30,2008-11-12 00:00:00,2008-12-09,0R4749,4GX00779,ATY00515,,Puntual,1433.0
CI08635,INTERCAMBIO,MF,793B,DESPACHO,2008-11-30,2008-12-31 00:00:00,2008-12-24,10R1822,CRA06358,1HL75003,,Overhaul,3350.0
CI08636,INTERCAMBIO,MF,793B,DESPACHO,2008-11-30,2008-12-31 00:00:00,2009-01-02,10R1822,10102415,1HL75003,,Overhaul,3100.0
N20482A,SPENCE,MO,793C,TERMINADO,2008-11-30,2008-08-12 00:00:00,2008-12-12,1470797,8WM00751,ATY00866,,Puntual,8761.0
CI08359,INTERCAMBIO,DI,789C,DESPACHO,2008-02-12,2008-12-31 00:00:00,2009-01-02,1256046,XX,2BW00159,,Overhaul,12560.0
CI08517,INTERCAMBIO,DI,789C,DESPACHO,2008-02-12,2009-01-20 00:00:00,2009-01-02,1256046,CRA04289,2BW00527,,Overhaul,13600.0
CI08514,INTERCAMBIO,DI,793B,DESPACHO,2008-02-12,2008-12-31 00:00:00,2010-05-20,1350471C,CRA03177,1HL00495,,Overhaul,13500.0
NP20768,ESCONDIDA,MO,994F,DESPACHO,2008-02-12,2100-12-31 00:00:00,2008-12-10,2407750,8WM02095,44200191,,Puntual,1.0
NP20763,SPENCE,MO,793D,DESPACHO,2008-02-12,2008-12-31 00:00:00,2010-05-21,2350300,8WM01112,FDB00158,,Overhaul,40.0
NP20764,ESCONDIDA,TR,777D,DESPACHO,2008-12-02,2009-01-02 00:00:00,2010-05-21,8E9035,10066009,3PR00954,,Overhaul,12901.0
NP20765,ESCONDIDA,TR,854G,DESPACHO,2008-12-02,2009-02-19 00:00:00,2010-05-21,0R4054,10091987,AMP00342,,Overhaul,6942.0
NP20769,CONTRATO MEL,MF,797F,TERMINADO,2008-02-12,2008-12-12 00:00:00,2008-12-28,2922170,31608747,LAJ00149,,Puntual,220.0
N20514A,BOLIVIA,MO,789C,DESPACHO,2008-03-12,2008-12-19 00:00:00,2008-12-23,2465600,8WM01331,2BW01226,,Puntual,9507.0
NP20770,ESCONDIDA,MA,797F,DESPACHO,2008-03-12,2009-02-28 00:00:00,2010-05-21,2922172,30834,LAJ00149,,Puntual,192.0
NP20780,SUC. ANTOFAGASTA,MO,777F,DESPACHO,2008-03-12,2008-11-12 00:00:00,2008-12-05,2342650,2342650,JRP00465,,Overhaul,9030.0
NP20781,SUC. ANTOFAGASTA,MO,3412,DESPACHO,2008-03-12,2008-09-12 00:00:00,2008-12-13,1668582,1668582,9EP03423,,Puntual,12751.0
CI08363,INTERCAMBIO,MA,797,DESPACHO,2008-12-03,2008-12-31 00:00:00,2009-01-31,1925826,CRA06339,5YW00259,,Overhaul,26729.0
NP20784,SUC. ANTOFAGASTA,MO,D11R,DESPACHO,2008-04-12,2100-12-31 00:00:00,2008-12-19,1129165,1129165,9TR00458,,Puntual,50308.0
NP20757,CENTRO DE SERVICIOS LA NEGRA,CO,793D,DESPACHO,2008-04-12,2100-12-31 00:00:00,2008-12-22,4Z7055,T5C00825,FDB00902,,Puntual,1.0
NP20746,STOCK CRC,MF,793B,TERMINADO,2008-04-12,2009-01-13 00:00:00,2009-04-23,10R1822,CRA06359,1HL00163,,Overhaul,10833.0
NP20778,EL TESORO,CO,994D,DESPACHO,2008-04-12,2100-12-31 00:00:00,2008-12-28,0R9549,CRA04798,3TZ00323,,Overhaul,6819.0
NP20762,POWER SYSTEM,MO,3516,DESPACHO,2008-04-12,2009-02-02 00:00:00,2009-03-23,2342795,S2X00606,S2X00606,,Puntual,9.0
N20528A,ESCONDIDA,TR,793B,DESPACHO,2008-12-05,2008-12-31 00:00:00,2008-12-17,0R4008,T9115,1HL00297,,Puntual,723.0
NP20672,INTERCAMBIO,MF,994,DESPACHO,2008-12-05,2008-12-05 00:00:00,2008-12-05,1373505,CRA05899,9YF0001,,Puntual,1.0
NP20759,CONTRATO MEL,MO,797B,DESPACHO,2008-12-05,2008-12-05 00:00:00,2008-12-05,2095259,3TN00766,JSM00357,,Puntual,1000.0
N20222A,ESCONDIDA,MO,793C,DESPACHO,2008-12-05,2008-12-11 00:00:00,2008-12-08,0R7568,CPW00375,4AR00234,,Puntual,1.0
NP20750,RADOMIRO TOMIC,MF,793C,TERMINADO,2008-12-05,2009-01-31 00:00:00,2009-04-23,10R1822,CRA03488,4AR00350,,Overhaul,3943.0
CI08553,INTERCAMBIO,CO,797B,TERMINADO,2008-12-05,2009-01-20 00:00:00,2009-04-27,0R9812,10067129,JSM00129,,Overhaul,8980.0
CI08580,INTERCAMBIO,DI,785C,DESPACHO,2008-05-12,2008-12-31 00:00:00,2008-12-30,1306634,CRA06368,APX00526,,Overhaul,19830.0
CI08451,INTERCAMBIO,DI,797B,DESPACHO,2008-05-12,2009-11-02 00:00:00,2009-01-18,0R9815,CRA06341,JSM00182,,Overhaul,23614.0
CI08566,INTERCAMBIO,DI,777D,TERMINADO,2008-12-05,2009-01-04 00:00:00,2009-04-27,1049410,CRA06344,AGC01928,,Overhaul,14630.0
CI08599,INTERCAMBIO,CO,793B,TERMINADO,2008-12-05,2009-01-04 00:00:00,2009-04-23,0R4088,CRA06396,1HL00080,,Overhaul,11500.0
NP20767,RADOMIRO TOMIC,TR,D11R,TERMINADO,2008-06-12,2009-01-20 00:00:00,2009-04-27,3041817,CRA06342,7PZ01351,,Overhaul,7814.0
NP20748,CENTRO DE SERVICIOS LA NEGRA,MO,24H,DESPACHO,2008-06-12,2008-09-12 00:00:00,2008-12-20,1230200,80M08019,7KK00077,,Puntual,6876.0
NP20717,SANTA BARBARA,DI,824C,TERMINADO,2008-07-12,2009-01-10 00:00:00,2009-04-23,9C4204,CRA00709,85X01306,,Overhaul,29580.0
N20582A,CONTRATO MEL,CO,797B,DESPACHO,2008-08-12,2009-01-22 00:00:00,2009-02-02,0R9812,5ST00189,JSM00234,,Puntual,1.0
N20491A,EL ABRA,CO,D10N,TERMINADO,2008-12-08,2008-12-31 00:00:00,2009-04-23,0R4079,100925214,3SK00958,,Puntual,10000.0
N20425A,RADOMIRO TOMIC,DI,793C,DESPACHO,2008-12-08,2008-12-31 00:00:00,2008-12-23,1350471C,CRA05748,4AR00116,,Puntual,492.0
N20262A,ESCONDIDA,MF,797,TERMINADO,2008-08-12,2008-12-31 00:00:00,2009-04-23,0R9814,1870801,5YW00241,,Puntual,6840.0
N20364A,CONTRATO MEL,MF,797B,TERMINADO,2008-12-08,2100-12-31 00:00:00,2009-04-23,0R9814,306091,JSM00232,,Puntual,11968.0
CI08646,INTERCAMBIO,MO,D10T,DESPACHO,2008-09-12,2009-05-02 00:00:00,2010-05-20,2122744,EHX02226,RJG00216,,Overhaul,10383.0
NP20772,CONSTRUCTORA GARDILCIC,DI,R1600G,DESPACHO,2008-09-12,2008-12-31 00:00:00,2010-05-21,2413589,CRA05127,9PP00160,,Puntual,9412.0
CI08647,INTERCAMBIO,MO,785C,DESPACHO,2008-12-09,2100-12-31 00:00:00,2010-05-20,0R9844,8BR01179,APX00671,,Overhaul,15951.0
CI08648,INTERCAMBIO GARDILCIC,MF,R1600G,DESPACHO,2008-10-12,2009-01-15 00:00:00,2010-05-20,10R5004,CRA06354,9PP00160,,Overhaul,9412.0
CI08649,INTERCAMBIO GARDILCIC,MF,R1600G,DESPACHO,2008-10-12,2009-01-15 00:00:00,2010-05-20,10R5004,CRA06353,9PP00160,,Overhaul,9412.0
NP20779,CONTRATO MEL,MA,797B,DESPACHO,2008-10-12,2009-01-16 00:00:00,2010-05-21,1925826,CRA06349,JSM00257,,Overhaul,9580.0
NP20786,ESCONDIDA,MO,994F,DESPACHO,2008-10-12,2009-05-31 00:00:00,2009-01-02,2407750,8WM00960,44200191,,Overhaul,12687.0
LN03293,CENTRO DE SERVICIOS LA NEGRA,TR,797,TERMINADO,2008-10-12,2008-12-31 00:00:00,2010-05-20,S/N,10104025,5YW00220,,Puntual,3.0
NP20774,BOLIVIA,MO,3412E,DESPACHO,2008-10-12,2009-02-21 00:00:00,2009-02-11,2083619,BDT04684,BDT04684,,Puntual,14639.0
NP20773,BOLIVIA,MF,785,DESPACHO,2008-10-12,2009-02-10 00:00:00,2010-05-21,0R9037,10074279,8GB00245,,Puntual,15000.0
NP20804,MINERA MANTOS VERDES,MO,785C,DESPACHO,2008-10-12,2009-04-17 00:00:00,2010-05-21,2177092,8BR01158,APX00652,,Overhaul,18235.0
NP20789,ESCONDIDA,TR,793C,DESPACHO,2008-12-10,2009-01-27 00:00:00,2010-01-08,9U9822,4GX00715,4AR00224,,Overhaul,13027.0
NP20523,EL ABRA,TR,793B,DESPACHO,2008-12-11,2009-03-06 00:00:00,2010-05-20,0R4008,10097492A,1HL00347,,Puntual,6640.0
CI08645,INTERCAMBIO GARDILCIC,CO,R1600G,DESPACHO,2008-12-11,2009-01-20 00:00:00,2010-05-20,10R5518,6KT00130,9PP00154,,Overhaul,9347.0
NP20805,MINERA ZALDIVAR,MO,793B,DESPACHO,2008-12-11,2009-04-23 00:00:00,2010-05-21,0R9659,7CL01589,1HL00495,,Overhaul,3914.0
NP20806,SPENCE,TR,793C,DESPACHO,2008-11-12,2009-01-15 00:00:00,2010-05-21,9U9822,4GX01889,ATY00918,,Overhaul,20886.0
NP20807,SPENCE,CO,793C,DESPACHO,2008-11-12,2009-01-15 00:00:00,2010-05-21,1248506,3KT01889,ATY00918,,Overhaul,20886.0
