OS,cliente,tipoComponente,modelo,estado,fechaLlegada,fechaPrometida,fechaTermino,NParte,serieComp,serieEquipo,tipoOrden,tipoReparacion,horasComp
505901085101,INTERCAMBIO O INTERNO CRC,DI,994F,DESPACHO,2021-04-26,2021-06-21 00:00:00,2021-06-21,1191792EX.505,CRA08628,44200266,Programado,Overhaul,7800.0
505901085201,INTERCAMBIO O INTERNO CRC,MO,797F,DESPACHO,2021-04-26,2021-09-27 00:00:00,2021-09-27,20R7015.505,HN400223,LAJ00618,Programado,Overhaul,14718.0
505901085001,INTERCAMBIO O INTERNO CRC,TR,793B,TERMINADO,2021-04-26,2021-06-08 00:00:00,2021-05-17,0R4749.505,1015444,3SJ00022,Programado,Overhaul,14362.0
505901092301,CONTRATO EL ABRA,MF,793C,TERMINADO,2021-04-27,2021-10-31 00:00:00,2021-10-22,10R5399.505,10285093-2,4AR00229,Evento,Puntual,1079.0
505901086201,INTERCAMBIO O INTERNO CRC,MA,797F,DESPACHO,2021-04-27,2021-06-20 00:00:00,2021-06-14,2922171EX.505,SIN SERIE,LAJ00471,Evento,Overhaul,25391.0
505901086401,INTERCAMBIO O INTERNO CRC,MF,777G,DESPACHO,2021-04-27,2021-07-31 00:00:00,2021-07-19,20R4209.505,400814462,T4Y00177,Programado,Overhaul,25077.0
505901086501,INTERCAMBIO O INTERNO CRC,CO,793B,DESPACHO,2021-04-27,2021-06-22 00:00:00,2021-06-22,0R4088.505,10002121A,1HL00191,Programado,Overhaul,13965.0
505901092401,INTERCAMBIO O INTERNO CRC,MF,797F,TERMINADO,2021-04-29,2021-07-31 00:00:00,2021-07-12,0R9814FC.5,10235351,LAJ,Programado,Puntual,0.0
505901100301,CORP.NAC.DEL COB DE CHILEDIVIMINI,MO,16M,DESPACHO,2021-04-19,2021-09-27 00:00:00,2021-09-27,3918875,TXF05013,R9H00801,Evento,Overhaul,5480.0
505901080001,INTERCAMBIO O INTERNO CRC,MF,797B,DESPACHO,2021-05-05,2021-05-29 00:00:00,2021-05-29,0R9814.505,101785,JSM00465,Programado,Proceso Continuo,19987.0
