NPersonal,estadoFinalizado,calificacion,puntaje,IDCurso
3481217,1,Apto,100.0,
3481247,1,Apto,100.0,
3482308,1,Apto,100.0,
3482354,1,Apto,90.0,
3482577,1,Apto,80.0,
3482703,1,Apto,100.0,
3482808,1,Apto,100.0,
3482847,1,Apto,100.0,
3482863,1,Apto,90.0,
3482894,1,Apto,100.0,
3483156,1,Apto,90.0,
3483814,1,Apto,90.0,
3483833,1,Apto,100.0,
3483834,1,Apto,100.0,
3484033,1,Apto,90.0,
3484035,1,Apto,100.0,
3484056,1,Apto,100.0,
3484067,1,Apto,90.0,
3484096,1,Apto,100.0,
3484098,1,Apto,90.0,
3484134,1,Apto,90.0,
3484207,1,Apto,100.0,
3484397,1,Apto,100.0,
3484587,1,Apto,80.0,
3481099,1,Apto,0.0,SOPTE14
3488758,1,Apto,83.0,PPR01
3485764,1,Apto,83.0,PPR01
3484587,0,,0.0,PPR01
3484056,1,Apto,83.0,PPR01
3478962,0,,50.0,PPR01
3477848,1,Apto,100.0,PPR01
3479266,1,Apto,100.0,PPR01
3483834,1,Apto,100.0,PPR01
3479445,1,Apto,100.0,PPR01
3484397,1,Apto,75.0,HME2109
3483834,1,Apto,93.0,HME2109
3483833,1,Apto,80.0,HME2109
3483833,1,Apto,100.0,HME2605
3483834,1,Apto,90.0,HME2605
3482308,1,Apto,90.0,HME2605
3482308,1,No apto,0.0,HME2605
3482308,1,Apto,94.0,HME2605
3483833,1,Apto,85.0,HME2603
3483834,1,Apto,83.0,HME2603
3485764,1,Apto,86.0,HME1069
3477848,1,Apto,86.0,HME1069
3481128,1,Apto,100.0,HME1069
3484397,1,Apto,78.0,HME1069
3484397,1,Apto,90.0,HME2600
3483833,1,Apto,75.0,HME2600
3484134,1,Apto,90.0,HME2609
3484134,1,Apto,100.0,HME2613
3483833,1,Apto,100.0,HME2604
3483834,1,Apto,93.0,HME2604
3482308,1,Apto,87.0,HME2604
3484134,1,Apto,100.0,HME2610
3484397,1,Apto,90.0,HME2601
3483833,1,Apto,87.0,HME2601
3483834,1,Apto,75.0,HME2601
3483833,1,Apto,87.0,HME2601
3483833,1,Apto,87.0,HME2601
3483834,1,Apto,76.0,HME2606
3482308,1,Apto,70.0,HME2606
3482847,1,Apto,90.0,HME2093
3482894,1,Apto,90.0,HME2093
3484587,1,Apto,90.0,HME2107
3479002,1,Apto,85.0,HME2107
3482577,1,Apto,100.0,HME2107
3484587,1,Apto,90.0,HME2104
3482577,0,,0.0,HME2104
3482577,1,Apto,85.0,HME2104
3479002,1,Apto,100.0,HME2104
3484033,1,Apto,100.0,HME2112
3477873,1,Apto,95.0,HME2112
3484056,1,Apto,90.0,HME2112
3484587,1,Apto,95.0,HME2112
3484587,0,,0.0,HME2112
3482577,1,Apto,90.0,HME2112
3484096,1,Apto,95.0,HME2112
3479002,1,Apto,100.0,HME2112
3484067,1,Apto,90.0,HME2112
3484067,1,Apto,95.0,HME2103
3477873,1,Apto,95.0,HME2103
3484587,1,Apto,90.0,HME2103
3479445,0,,0.0,HME2095
3477873,1,Apto,90.0,HME2083
3484056,1,Apto,95.0,HME2083
3484067,1,Apto,95.0,HME2083
3484033,1,Apto,85.0,HME2083
3484587,1,Apto,90.0,HME2083
3482894,1,Apto,95.0,HME0656
3479189,1,Apto,90.0,HME0656
3483833,1,Apto,90.0,HME0317
