OSMadre,Orden,costoRepuesto,costoMO,costoTTA,costoTotal,wip
505900393000,505900393008,0.0,0.0,0.0,0.0,0
505900430800,505900430801,56294.02,9365.25,0.0,70614.46,97
505900430800,505900430802,0.0,0.0,0.0,0.0,0
505900430800,505900430803,2032.3,0.0,0.0,2032.3,88
505900430800,505900430804,0.0,0.0,0.0,0.0,0
505900430800,505900430805,0.0,0.0,0.0,0.0,0
505900430800,505900430806,0.0,0.0,0.0,0.0,0
505900430800,505900430807,0.0,0.0,0.0,0.0,0
505900430800,505900430808,0.0,0.0,0.0,0.0,0
505900430800,505900430809,945.2,0.0,0.0,945.2,264
505900430800,505900430810,0.0,0.0,0.0,0.0,731
505900434500,505900434501,51022.07,8571.25,0.0,64630.88,102
505900434500,505900434502,0.0,0.0,0.0,0.0,0
505900434500,505900434503,281.63,0.0,0.0,281.63,91
505900434500,505900434504,0.0,0.0,0.0,0.0,0
505900434500,505900434505,0.0,0.0,0.0,0.0,0
505900434500,505900434506,0.0,0.0,0.0,0.0,0
505900434500,505900434507,0.0,0.0,0.0,0.0,0
505900434500,505900434508,0.0,0.0,0.0,0.0,0
505900434500,505900434509,945.93,0.0,0.0,945.93,92
505900435600,505900435601,92320.3,8065.99,251.95,104851.98,103
505900435600,505900435602,0.0,0.0,0.0,0.0,0
505900435600,505900435603,0.0,0.0,0.0,0.0,0
505900435600,505900435604,0.0,0.0,0.0,0.0,0
505900435600,505900435605,231.56,0.0,0.0,231.56,15
505900435600,505900435606,0.0,0.0,0.0,0.0,0
505900435600,505900435607,0.0,0.0,0.0,0.0,0
505900435600,505900435608,0.0,0.0,0.0,0.0,0
505900439400,505900439401,238441.74,34817.47,6639.43,286286.34,231
505900439400,505900439402,0.0,0.0,0.0,0.0,0
505900439400,505900439403,484.69,0.0,0.0,484.69,193
505900439400,505900439404,0.0,0.0,0.0,0.0,0
505900439400,505900439405,2561.07,0.0,0.0,2561.07,32
505900439400,505900439406,0.0,0.0,0.0,0.0,0
505900439400,505900439407,0.0,0.0,0.0,0.0,0
505900439400,505900439408,0.0,0.0,0.0,0.0,0
505900441600,505900441601,30732.22,4823.32,0.0,36177.51,90
505900441600,505900441602,0.0,0.0,0.0,0.0,0
505900441600,505900441603,0.0,0.0,0.0,0.0,0
505900441600,505900441604,0.0,0.0,0.0,0.0,0
505900441600,505900441605,0.0,0.0,0.0,0.0,0
505900441600,505900441606,0.0,0.0,0.0,0.0,0
505900441600,505900441607,0.0,0.0,0.0,0.0,0
505900441600,505900441608,0.0,0.0,0.0,0.0,0
505900441700,505900441701,26163.69,2287.99,0.0,29256.28,147
505900441700,505900441702,0.0,0.0,0.0,0.0,0
505900441700,505900441703,0.0,0.0,0.0,0.0,0
505900441700,505900441704,0.0,0.0,0.0,0.0,0
505900441700,505900441705,0.0,0.0,0.0,0.0,0
505900441700,505900441706,0.0,0.0,0.0,0.0,0
505900441700,505900441707,0.0,0.0,0.0,0.0,0
505900441700,505900441708,0.0,0.0,838.41,838.41,17
505900441800,505900441801,113391.81,9121.81,250.9,126322.63,99
505900441800,505900441802,0.0,0.0,0.0,0.0,0
505900441800,505900441803,4267.18,0.0,0.0,4267.18,78
505900441800,505900441804,0.0,0.0,0.0,0.0,0
505900441800,505900441805,70.1,0.0,0.0,70.1,51
505900441800,505900441806,0.0,0.0,0.0,0.0,0
505900441800,505900441807,0.0,0.0,0.0,0.0,0
505900441800,505900441808,0.0,0.0,0.0,0.0,0
505900448100,505900448101,41554.12,8033.78,0.0,53725.62,751
505900448100,505900448102,0.0,0.0,0.0,0.0,0
505900448100,505900448103,132.25,0.0,0.0,132.25,75
505900448100,505900448104,0.0,0.0,0.0,0.0,0
505900448100,505900448105,197.29,0.0,0.0,197.29,17
