OSMadre,Orden,Operacion,NPersonal,TrabajoReal
505900088700,505900088701,140,3479833,16.0
505900088700,505900088701,140,3482803,8.5
505900088700,505900088701,150,3477876,28.0
505900088700,505900088701,150,3479833,2.0
505900088700,505900088701,150,3482803,17.5
505900088700,505900088701,160,3478945,2.0
505900088700,505900088701,170,3479013,5.5
505900088700,505900088701,170,3482575,2.0
505900088700,505900088701,170,3483732,12.25
505900088700,505900088701,180,3482803,12.25
505900088700,505900088701,180,3483732,11.5
505900088700,505900088701,190,3483732,11.0
505900088700,505900088701,210,3478945,2.0
505900088700,505900088701,220,3478945,2.0
505900088700,505900088701,230,3478945,7.5
505900088700,505900088701,240,3479832,10.5
505900088700,505900088701,240,3480517,10.5
505900088700,505900088701,260,3478945,4.0
505900088700,505900088701,270,3478945,4.0
505900088700,505900088701,280,3478945,4.75
505900088700,505900088701,290,3478945,4.0
505900088700,505900088701,300,3479096,28.0
505900088700,505900088701,320,3479413,12.0
505900088700,505900088701,320,3482803,20.5
505900088700,505900088701,330,3482575,8.5
505900088700,505900088701,340,3481152,9.0
505900088700,505900088701,350,3481152,9.0
505900088700,505900088701,360,3481291,9.0
505900088700,505900088701,360,3482868,9.0
505900088700,505900088701,360,3483062,19.0
505900088700,505900088701,370,3480474,16.5
505900088700,505900088701,380,3478171,13.0
505900088700,505900088701,390,3479049,58.0
505900088700,505900088701,390,3480170,42.0
505900088700,505900088701,400,3479192,5.5
505900088700,505900088701,400,3479681,11.0
505900088700,505900088701,430,3477879,4.0
505900088700,505900088701,430,3484397,21.0
505900088700,505900088701,440,3477879,4.0
505900088700,505900088701,440,3482868,8.0
505900088700,505900088701,440,3483062,12.0
505900088700,505900088701,440,3484397,10.5
505900088700,505900088701,460,3482868,4.0
505900088700,505900088701,460,3483062,10.0
505900088700,505900088701,470,3482868,16.0
505900088700,505900088701,490,3478171,6.0
505900088700,505900088701,490,3480474,1.0
505900088700,505900088701,500,3478171,3.5
505900088700,505900088701,500,3480474,2.25
505900088700,505900088701,510,3478171,5.0
505900088700,505900088701,510,3480474,2.0
505900088700,505900088701,520,3478171,1.0
505900088700,505900088701,530,3478945,3.75
505900088700,505900088701,530,3480474,3.75
505900088700,505900088701,540,3478945,2.0
505900088700,505900088701,550,3478945,2.0
505900088700,505900088701,590,3484533,10.5
505900088700,505900088701,600,3479013,15.5
505900088700,505900088701,620,3484533,10.0
505900088700,505900088701,630,3479013,10.0
505900088700,505900088701,640,3477871,10.5
505900088700,505900088701,640,3477887,10.0
505900088700,505900088701,640,3482790,5.25
505900088700,505900088701,650,3477871,10.0
505900088700,505900088701,650,3482790,15.75
505900088700,505900088706,10,3480047,31.5
505900088700,505900088706,10,3480705,31.5
505900111400,505900111401,20,3479456,1.0
505900111400,505900111401,20,3479668,28.0
505900111400,505900111401,20,3483754,28.0
505900111400,505900111401,30,3479848,14.0
505900111400,505900111401,40,3479456,1.0
505900111400,505900111401,40,3479994,16.0
505900111400,505900111401,40,3483732,15.0
505900111400,505900111401,50,3477881,5.0
505900111400,505900111401,50,3479456,1.0
505900111400,505900111401,50,3482575,6.0
505900111400,505900111401,60,3479456,1.0
505900111400,505900111401,60,3480921,2.0
505900111400,505900111401,60,3482575,2.0
505900111400,505900111401,70,3479456,1.0
505900111400,505900111401,80,3479456,1.0
505900111400,505900111401,80,3482575,2.25
505900111400,505900111401,90,3479456,1.0
505900111400,505900111401,90,3483756,1.5
505900111400,505900111401,90,3484533,1.5
505900111400,505900111401,100,3479456,1.0
505900111400,505900111401,100,3483756,1.5
505900111400,505900111401,100,3484533,1.5
505900111400,505900111401,110,3479456,1.0
505900111400,505900111401,110,3483756,1.5
505900111400,505900111401,110,3484533,1.5
505900111400,505900111401,120,3477848,20.0
505900111400,505900111401,120,3479456,1.0
505900111400,505900111401,120,3483756,1.5
505900111400,505900111401,130,3478945,1.0
505900111400,505900111401,130,3479456,1.0
505900111400,505900111401,130,3483756,1.0
505900111400,505900111401,140,3479456,1.0
505900111400,505900111401,140,3479994,2.5
505900111400,505900111401,150,3477879,10.5
505900111400,505900111401,150,3482308,14.0
505900111400,505900111401,160,3479848,14.0
505900111400,505900111401,170,3483756,4.0
505900111400,505900111401,180,3479096,22.5
505900111400,505900111401,180,3479456,1.0
505900111400,505900111401,180,3479668,7.0
505900111400,505900111401,190,3479013,10.0
505900111400,505900111401,190,3479456,1.0
505900111400,505900111401,200,3477881,2.0
505900111400,505900111401,210,3479668,6.0
505900111400,505900111401,210,3483754,6.0
505900111400,505900111401,220,3479670,10.0
505900111400,505900111401,220,3482142,15.0
505900111400,505900111401,230,3482696,6.0
505900111400,505900111401,230,3482704,6.0
505900111400,505900111401,230,3483759,6.0
505900111400,505900111401,240,3482803,4.5
