Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;r120ce7PZ;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
5R-7137;4;;1207;WASHER-SEALING;8N-8161;DRIVE GP-ACCESSORY;CCR DISTR
7N-2910;1;;1207;BUSHING;8N-8161;DRIVE GP-ACCESSORY;CCR DISTR
7N-3006;2;;1207;WASHER-THRUST;8N-8161;DRIVE GP-ACCESSORY;CCR DISTR
7N-8525;2;;1207;WASHER-THRUST;8N-8161;DRIVE GP-ACCESSORY;CCR DISTR
7N-3011;1;;1207;BUSHING;8N-8161;DRIVE GP-ACCESSORY;CCR DISTR
137-8298;1;;1207;BUSHING;8N-8161;DRIVE GP-ACCESSORY;CCR DISTR
2D-8426;2;;1207;STUD-TAPERLOCK (1/2-13X3.19-IN);8N-8161;DRIVE GP-ACCESSORY;CCR DISTR
3F-5792;1;;1207;SEAL-O-RING;8N-8161;DRIVE GP-ACCESSORY;CCR DISTR
259-4598;1;;1207;SEAL-O-RING;8N-8161;DRIVE GP-ACCESSORY;CCR DISTR
7E-6615;1;;1207;GASKET;7E-6612;DRIVE GP-AUXILIARY;CCR DISTR
5P-8245;4;;1207;WASHER-HARD (13.5X25.5X3-MM THK);7E-6612;DRIVE GP-AUXILIARY;CCR DISTR
119-6355;1;;1207;SEAL-LIP TYPE;7E-6612;DRIVE GP-AUXILIARY;CCR DISTR
7N-3011;2;;1207;BUSHING;7E-6612;DRIVE GP-AUXILIARY;CCR DISTR
7N-8525;2;;1207;WASHER-THRUST;7E-6612;DRIVE GP-AUXILIARY;CCR DISTR
3F-5792;1;;1207;SEAL-O-RING;7E-6612;DRIVE GP-AUXILIARY;CCR DISTR
109-5721;1;;1207;SEAL (DIRT);7E-6612;DRIVE GP-AUXILIARY;CCR DISTR
5P-8112;3;;1162;GROMMET;257-6337;FASTENER GP-FRONT HOUSING;CCR DISTR
2W-0752;1;;1316;GASKET;267-3756;FILLER GP-ENGINE OIL;CCR EN&CA
6N-2206;1;;1316;CAP AS-FILLER;267-3756;FILLER GP-ENGINE OIL;CCR EN&CA
039-6937;1;;1316;BOLT-SPECIAL;267-3756;FILLER GP-ENGINE OIL;CCR EN&CA
2D-6235;1;;1316;LOCKNUT (1/4-20-THD);267-3756;FILLER GP-ENGINE OIL;CCR EN&CA
1P-1367;2;;1306;PLUNGER (RELIEF VALVE);445-8610;FILTER GP-ENGINE OIL;CCR EN&CA
7G-6713;2;;1306;SPRING-MAIN;445-8610;FILTER GP-ENGINE OIL;CCR EN&CA
8C-3445;1;;1306;CAP-DUST;445-8610;FILTER GP-ENGINE OIL;CCR EN&CA
8C-3446;1;;1306;VALVE-SAMPLING;445-8610;FILTER GP-ENGINE OIL;CCR EN&CA
9S-9272;1;;1306;CAP AS;445-8610;FILTER GP-ENGINE OIL;CCR EN&CA
9Y-8388;2;;1306;GASKET;445-8610;FILTER GP-ENGINE OIL;CCR EN&CA
244-4484;3;;1306;FILTER-ENGINE OIL (ULTRA HIGH EFFICIENCY);445-8610;FILTER GP-ENGINE OIL;CCR EN&CA
0S-1591;6;;1306;BOLT (3/8-16X1.5-IN);445-8610;FILTER GP-ENGINE OIL;CCR EN&CA
2M-9780;1;;1306;SEAL-O-RING;445-8610;FILTER GP-ENGINE OIL;CCR EN&CA
3J-7354;1;;1306;SEAL-O-RING;445-8610;FILTER GP-ENGINE OIL;CCR EN&CA
6V-5048;1;;1306;SEAL-O-RING;445-8610;FILTER GP-ENGINE OIL;CCR EN&CA
9M-1974;4;;1306;WASHER-HARD (8.8X16X2-MM THK);445-8610;FILTER GP-ENGINE OIL;CCR EN&CA
9Y-8387;2;;1306;GASKET;445-8610;FILTER GP-ENGINE OIL;CCR EN&CA
8N-3653;1;;1260;STUD-TAPERLOCK;6I-4468;FILTER GP-PRIMARY FUEL;CCR EN&CA
7L-6326;1;;1260;CLIP;6I-4468;FILTER GP-PRIMARY FUEL;CCR EN&CA
2K-8198;2;;1260;SEAL-O-RING;6I-4468;FILTER GP-PRIMARY FUEL;CCR EN&CA
1R-0755;2;;1260;FILTER-FUEL (ADVANCED EFFICIENCY);6I-4468;FILTER GP-PRIMARY FUEL;CCR EN&CA
0S-1591;2;;1260;BOLT (3/8-16X1.5-IN);6I-4468;FILTER GP-PRIMARY FUEL;CCR EN&CA
8H-2778;1;;1260;SEAL-RING (FUEL FILTER);6I-4468;FILTER GP-PRIMARY FUEL;CCR EN&CA
6V-0871;1;;1260;GROMMET;6I-4468;FILTER GP-PRIMARY FUEL;CCR EN&CA
2H-3429;1;;1260;RING-RETAINING;6I-4468;FILTER GP-PRIMARY FUEL;CCR EN&CA
3J-1907;3;;1260;SEAL-O-RING;6I-4468;FILTER GP-PRIMARY FUEL;CCR EN&CA
3K-0360;4;;1260;SEAL-O-RING;6I-4468;FILTER GP-PRIMARY FUEL;CCR EN&CA
1L-3769;1;;1260;RING-RETAINING;6I-4468;FILTER GP-PRIMARY FUEL;CCR EN&CA
7M-4672;1;;1260;WASHER (0.656X1.31X0.109-IN THK);6I-4468;FILTER GP-PRIMARY FUEL;CCR EN&CA
5H-8038;1;;1260;SEAL-O-RING;6I-4468;FILTER GP-PRIMARY FUEL;CCR EN&CA
9M-2342;1;;1260;FILTER ELEMENT-FUEL (PRIMARY);6I-4468;FILTER GP-PRIMARY FUEL;CCR EN&CA
7S-9323;1;;1260;SPRING;6I-4468;FILTER GP-PRIMARY FUEL;CCR EN&CA
6V-0852;1;;7542;CAP-DUST;445-8601;VALVE GP-FLUID SAMPLING;CCR EN&CA
1W-4724;2;;1317;CLAMP-HOSE;230-1069;FUMES DISPOSAL GP;CCR M&B
7K-1181;4;;1317;STRAP-CABLE;230-1069;FUMES DISPOSAL GP;CCR M&B
200-6345;1;;1317;SADDLE-MOUNTING (DUAL SWIVEL);230-1069;FUMES DISPOSAL GP;CCR M&B
204-2281;2;;1317;STRAP-CABLE;230-1069;FUMES DISPOSAL GP;CCR M&B
230-1062;2;;1317;HOSE AS;230-1069;FUMES DISPOSAL GP;CCR M&B
4P-8134;4;;1317;CLIP (LADDER);230-1069;FUMES DISPOSAL GP;CCR M&B
245-8455;1;;1326;GAUGE AS-OIL LEVEL (ENGINE);245-6215;GAUGE GP-OIL LEVEL (DIPSTICK) -ENGINE;CCR EN&CA
0L-1143;1;;1326;BOLT (3/8-16X2.5-IN);245-6215;GAUGE GP-OIL LEVEL (DIPSTICK) -ENGINE;CCR EN&CA
4S-7907;1;;1326;GASKET;245-6215;GAUGE GP-OIL LEVEL (DIPSTICK) -ENGINE;CCR EN&CA
5R-7136;1;;1162;WASHER-SEALING;376-3358;GEAR GP-FRONT;CCR DISTR
5R-7137;2;;1162;WASHER-SEALING;376-3358;GEAR GP-FRONT;CCR DISTR
7C-3258;1;;1162;WASHER AS-THRUST;376-3358;GEAR GP-FRONT;CCR DISTR
127-5400;2;;1162;BUSHING;376-3358;GEAR GP-FRONT;CCR DISTR
7N-5246;2;;1162;WASHER-THRUST;376-3358;GEAR GP-FRONT;CCR DISTR
140-9597;1;;1162;BUSHING;376-3358;GEAR GP-FRONT;CCR DISTR
235-3546;1;;1162;SEAL-O-RING;376-3358;GEAR GP-FRONT;CCR DISTR
259-4598;2;;1162;SEAL-O-RING;376-3358;GEAR GP-FRONT;CCR DISTR
5P-8245;2;;1162;WASHER-HARD (13.5X25.5X3-MM THK);376-3358;GEAR GP-FRONT;CCR DISTR
6V-3348;1;;1162;SEAL-O-RING;376-3358;GEAR GP-FRONT;CCR DISTR
9M-1974;4;;1162;WASHER-HARD (8.8X16X2-MM THK);376-3358;GEAR GP-FRONT;CCR DISTR
125-9751;1;;1204;BUSHING;445-0008;GEAR GP-REAR;CCR DISTR
101-1365;1;;1204;PLATE-THRUST;445-0008;GEAR GP-REAR;CCR DISTR
101-1368;2;;1204;WASHER-THRUST (19.5X106X1.9-MM THK);445-0008;GEAR GP-REAR;CCR DISTR
4P-5460;1;;1204;BUSHING;445-0008;GEAR GP-REAR;CCR DISTR
7N-4927;1;;1393;GASKET-HOUSING COVER;170-1152;HOUSING & REGULATOR GP;CCR EN&CA
248-5513;4;;1393;REGULATOR-WATER TEMPERATURE (92-DEG C);170-1152;HOUSING & REGULATOR GP;CCR EN&CA
3S-9643;4;;1393;SEAL-LIP TYPE (WATER TEMPERATURE REGULATOR);170-1152;HOUSING & REGULATOR GP;CCR EN&CA
7N-3049;1;;1162;GASKET;381-0680;HOUSING GP-FRONT;CCR DISTR
2N-2765;8;;1071;BOLT-HIGH TEMPERATURE (3/8-16X1.75-IN);230-1050;LINES GP-AIR;CCR EN&CA
7L-3195;12;;1071;BOLT-HIGH TEMPERATURE (3/8-16X1.75-IN);230-1050;LINES GP-AIR;CCR EN&CA
7N-5080;8;;1071;GASKET-MANIFOLD;230-1050;LINES GP-AIR;CCR EN&CA
7N-5087;2;;1071;GASKET;230-1050;LINES GP-AIR;CCR EN&CA
7X-1387;12;;1071;WASHER (10.26X22.22X1.9-MM THK);230-1050;LINES GP-AIR;CCR EN&CA
8N-4401;2;;1071;CLAMP-V BAND;230-1050;LINES GP-AIR;CCR EN&CA
109-7411;2;;1071;SEAL-O-RING;230-1050;LINES GP-AIR;CCR EN&CA
168-7800;20;;1071;LOCKNUT (3/8-16-THD);230-1050;LINES GP-AIR;CCR EN&CA
217-7088;2;;1071;HOSE;230-1050;LINES GP-AIR;CCR EN&CA
0S-1591;18;;1071;BOLT (3/8-16X1.5-IN);230-1050;LINES GP-AIR;CCR EN&CA
216-2211;8;;1071;CLAMP;230-1050;LINES GP-AIR;CCR EN&CA
3K-0360;1;;1071;SEAL-O-RING;230-1050;LINES GP-AIR;CCR EN&CA
4S-5898;8;;1071;SEAL-O-RING;230-1050;LINES GP-AIR;CCR EN&CA
5P-8940;1;;1071;SEAL-O-RING;230-1050;LINES GP-AIR;CCR EN&CA
6V-3917;4;;1071;SEAL-O-RING;230-1050;LINES GP-AIR;CCR EN&CA
6V-5101;8;;1071;SEAL-O-RING;230-1050;LINES GP-AIR;CCR EN&CA
2W-1635;1;;1307;SPRING;447-0433;LINES GP-ENGINE OIL;CCR EN&CA
6B-9202;2;;1307;SPRING;447-0433;LINES GP-ENGINE OIL;CCR EN&CA
111-3820;1;;1307;RING-RETAINING;447-0433;LINES GP-ENGINE OIL;CCR EN&CA
2H-9445;1;;1307;PIN-SPRING;447-0433;LINES GP-ENGINE OIL;CCR EN&CA
0L-1143;4;;1307;BOLT (3/8-16X2.5-IN);447-0433;LINES GP-ENGINE OIL;CCR EN&CA
0S-1591;3;;1307;BOLT (3/8-16X1.5-IN);447-0433;LINES GP-ENGINE OIL;CCR EN&CA
109-2332;5;;1307;SEAL-O-RING;447-0433;LINES GP-ENGINE OIL;CCR EN&CA
1P-3709;1;;1307;SEAL-RECTANGULAR;447-0433;LINES GP-ENGINE OIL;CCR EN&CA
228-7097;1;;1307;SEAL-O-RING;447-0433;LINES GP-ENGINE OIL;CCR EN&CA
3J-1907;2;;1307;SEAL-O-RING;447-0433;LINES GP-ENGINE OIL;CCR EN&CA
3P-0655;3;;1307;SEAL-O-RING;447-0433;LINES GP-ENGINE OIL;CCR EN&CA
5P-4892;1;;1307;SEAL-O-RING;447-0433;LINES GP-ENGINE OIL;CCR EN&CA
5P-5846;1;;1307;SEAL-O-RING;447-0433;LINES GP-ENGINE OIL;CCR EN&CA
5P-8245;4;;1307;WASHER-HARD (13.5X25.5X3-MM THK);447-0433;LINES GP-ENGINE OIL;CCR EN&CA
6V-1574;1;;1307;GROMMET;447-0433;LINES GP-ENGINE OIL;CCR EN&CA
6V-3908;1;;1307;SEAL-O-RING;447-0433;LINES GP-ENGINE OIL;CCR EN&CA
6V-4368;4;;1307;SEAL-O-RING;447-0433;LINES GP-ENGINE OIL;CCR EN&CA
6V-4589;2;;1307;SEAL-O-RING;447-0433;LINES GP-ENGINE OIL;CCR EN&CA
6V-5048;1;;1307;SEAL-O-RING;447-0433;LINES GP-ENGINE OIL;CCR EN&CA
108-1434;3;;1252;GROMMET;117-0078;LINES GP-FUEL INJECTION;CCR EN&CA
4P-0693;4;;1252;CLAMP AS;117-0078;LINES GP-FUEL INJECTION;CCR EN&CA
7C-8401;1;;1252;HOSE AS;117-0078;LINES GP-FUEL INJECTION;CCR EN&CA
7C-8402;2;;1252;HOSE AS;117-0078;LINES GP-FUEL INJECTION;CCR EN&CA
7N-6806;4;;1252;SEAL-RECTANGULAR;117-0078;LINES GP-FUEL INJECTION;CCR EN&CA
9N-4053;1;;1252;SPRING;117-0078;LINES GP-FUEL INJECTION;CCR EN&CA
295-7891;1;;1252;HOSE AS;117-0078;LINES GP-FUEL INJECTION;CCR EN&CA
238-5080;3;;1252;SEAL-O-RING;117-0078;LINES GP-FUEL INJECTION;CCR EN&CA
6V-4589;5;;1252;SEAL-O-RING;117-0078;LINES GP-FUEL INJECTION;CCR EN&CA
4P-7581;1;;1252;CLIP (LADDER);117-0078;LINES GP-FUEL INJECTION;CCR EN&CA
4P-8134;2;;1252;CLIP (LADDER);117-0078;LINES GP-FUEL INJECTION;CCR EN&CA
5P-4295;4;;1252;CLIP;117-0078;LINES GP-FUEL INJECTION;CCR EN&CA
6V-5048;1;;1252;SEAL-O-RING;117-0078;LINES GP-FUEL INJECTION;CCR EN&CA
6V-5049;17;;1252;SEAL-O-RING;117-0078;LINES GP-FUEL INJECTION;CCR EN&CA
9L-9132;5;;1252;WASHER-HARD (10.2X25.5X2.5-MM THK);117-0078;LINES GP-FUEL INJECTION;CCR EN&CA
147-3745;4;;1274;WASHER-RETAINING;156-9751;MANIFOLD GP-FUEL -ENGINE, RH;CCR DESAR
100-3237;8;;1274;GROMMET;156-9751;MANIFOLD GP-FUEL -ENGINE, RH;CCR DESAR
147-3745;4;;1274;WASHER-RETAINING;156-9752;MANIFOLD GP-FUEL -ENGINE, LH;CCR DESAR
100-3237;8;;1274;GROMMET;156-9752;MANIFOLD GP-FUEL -ENGINE, LH;CCR DESAR
2W-0752;2;;1052;GASKET;109-8082;LINES GP-TURBOCHARGER OIL;CCR TU&EL
108-1434;1;;1052;GROMMET;109-8082;LINES GP-TURBOCHARGER OIL;CCR TU&EL
7N-7559;2;;1052;GASKET;109-8082;LINES GP-TURBOCHARGER OIL;CCR TU&EL
184-3229;2;;1052;HOSE AS;109-8082;LINES GP-TURBOCHARGER OIL;CCR TU&EL
0L-1143;2;;1052;BOLT (3/8-16X2.5-IN);109-8082;LINES GP-TURBOCHARGER OIL;CCR TU&EL
100-3237;8;;1052;GROMMET;109-8082;LINES GP-TURBOCHARGER OIL;CCR TU&EL
5M-2894;6;;1052;WASHER-HARD (10.2X18.5X2.5-MM THK);109-8082;LINES GP-TURBOCHARGER OIL;CCR TU&EL
5P-9890;4;;1052;SEAL-O-RING;109-8082;LINES GP-TURBOCHARGER OIL;CCR TU&EL
6V-4589;1;;1052;SEAL-O-RING;109-8082;LINES GP-TURBOCHARGER OIL;CCR TU&EL
8L-2786;2;;1052;SEAL-O-RING;109-8082;LINES GP-TURBOCHARGER OIL;CCR TU&EL
8S-0948;4;;1052;CLIP;109-8082;LINES GP-TURBOCHARGER OIL;CCR TU&EL
8S-9191;2;;1052;BOLT (3/8-16X4-IN);109-8082;LINES GP-TURBOCHARGER OIL;CCR TU&EL
4P-4460;2;;1052;GASKET;109-8082;LINES GP-TURBOCHARGER OIL;CCR TU&EL
7F-2050;2;;1380;LOCKNUT (3/4-16-THD);217-7041;LINES GP-WATER -CAB HEATER;CCR EN&CA
005-7889;2;;1380;VALVE AS-DRAIN (WATER LINES);217-7041;LINES GP-WATER -CAB HEATER;CCR EN&CA
217-7042;1;;1380;HOSE AS;217-7041;LINES GP-WATER -CAB HEATER;CCR EN&CA
293-8093;1;;1380;HOSE AS;217-7041;LINES GP-WATER -CAB HEATER;CCR EN&CA
6D-4246;2;;1380;CLIP (LOOP)(LOOP);217-7041;LINES GP-WATER -CAB HEATER;CCR EN&CA
4W-0530;1;;1380;RING-RETAINING;156-9815;LINES GP-WATER -AFTERCOOLER;CCR EN&CA
4W-0531;2;;1380;RETAINER;156-9815;LINES GP-WATER -AFTERCOOLER;CCR EN&CA
7W-1855;2;;1380;RING-RETAINING;156-9815;LINES GP-WATER -AFTERCOOLER;CCR EN&CA
153-9963;1;;1380;RING;156-9815;LINES GP-WATER -AFTERCOOLER;CCR EN&CA
127-4230;2;;1380;SEAL;156-9815;LINES GP-WATER -AFTERCOOLER;CCR EN&CA
230-1072;2;;1380;GASKET;156-9815;LINES GP-WATER -AFTERCOOLER;CCR EN&CA
3K-0360;1;;1380;SEAL-O-RING;156-9815;LINES GP-WATER -AFTERCOOLER;CCR EN&CA
167-4407;2;;1380;SEAL-O-RING;156-9815;LINES GP-WATER -AFTERCOOLER;CCR EN&CA
3J-7354;2;;1380;SEAL-O-RING;156-9815;LINES GP-WATER -AFTERCOOLER;CCR EN&CA
3L-5907;1;;1380;GASKET;156-9815;LINES GP-WATER -AFTERCOOLER;CCR EN&CA
5P-8245;1;;1380;WASHER-HARD (13.5X25.5X3-MM THK);156-9815;LINES GP-WATER -AFTERCOOLER;CCR EN&CA
