Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;Cart JRP,10R-981;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
7N-2443;1;1151;Washer-Thrust;235-0993;Gear GP-Front;CCR DESARME;;;
112-9217;1;1151;Plate-Thrust;235-0993;Gear GP-Front;CCR DESARME;;;
131-7123;1;1151;Bushing;235-0993;Gear GP-Front;CCR DESARME;;;
4N-0684;2;1151;Dowel;235-0993;Gear GP-Front;CCR DESARME;;;
031-5085;6;1151;Bolt-Locking;235-0993;Gear GP-Front;CCR DESARME;;;
117-8801;2;1151;Seal-O-Ring;235-0993;Gear GP-Front;CCR DESARME;;;
1B-8705;1;1151;Key-Woodruff;235-0993;Gear GP-Front;CCR DESARME;;;
5E-8771;2;1151;Seal-O-Ring;235-0993;Gear GP-Front;CCR DESARME;;;
161-7293;1;1166;Gasket-Cylinder;350-8861;Housing GP-Rear;CCR DESARME;;;
316-9154;1;1166;Hose AS;350-8861;Housing GP-Rear;CCR DESARME;;;
4C-9612;2;1166;Sealant-Silicone;350-8861;Housing GP-Rear;CCR DESARME;;;
6V-5048;3;1166;Seal-O-Ring;350-8861;Housing GP-Rear;CCR DESARME;;;
061-8639;1;1166;Seal-O-Ring;350-8861;Housing GP-Rear;CCR DESARME;;;
7N-2156;2;1304;Bushing;116-1980;Pump GP-Engine Oil;CCR BBA;;;
8S-6511;2;1304;Bushing;116-1980;Pump GP-Engine Oil;CCR BBA;;;
7C-1511;1;1304;Ring-Plunger;116-1980;Pump GP-Engine Oil;CCR BBA;;;
2S-2760;1;1304;Spring;116-1980;Pump GP-Engine Oil;CCR BBA;;;
236-6733;1;1304;Spring;379-3989;Pump GP-Engine Oil;CCR BBA;;;
8S-9191;12;1251;Bolt;235-1401;Pump GP-Fuel Injection;CCR DESARME;;;
20R-2284;12;1251;Injector GP-Fuel;235-1401;Pump GP-Fuel Injection;CCR DESARME;;;
2N-2766;8;1052;Locknut;332-6792;Turbocharger GP;CCR TU&EL;;;
2N-2765;6;1052;Bolt-High Temperature;332-6792;Turbocharger GP;CCR TU&EL;;;
1S-4295;2;1052;Gasket;332-6792;Turbocharger GP;CCR TU&EL;;;
165-6170;6;1326;Plug;253-3534;Gauge GP-Oil Level (Dipstick);CCR DESARME;;;
033-6033;1;1326;Seal-O-Ring;253-3534;Gauge GP-Oil Level (Dipstick);CCR DESARME;;;
