Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;Cart GEB,246-562;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
6V-0128;2;1120;Seal-Connector;226-4927;Base GP-Valve Cover & Inj Harn;CCR DESARME;;;
326-4512;12;1120;Mounting-Cable Tie;226-4927;Base GP-Valve Cover & Inj Harn;CCR DESARME;;;
435-8538;2;1120;Harness AS-Engine;226-4927;Base GP-Valve Cover & Inj Harn;CCR DESARME;;;
123-3202;12;1120;Strap-Cable;226-4927;Base GP-Valve Cover & Inj Harn;CCR DESARME;;;
222-6456;2;1120;Seal;226-4927;Base GP-Valve Cover & Inj Harn;CCR DESARME;;;
8T-4205;4;1120;Washer-Hard;226-4927;Base GP-Valve Cover & Inj Harn;CCR DESARME;;;
253-1752;2;1202;Plate-Thrust;224-3250;Crankshaft GP;CCR BLOCK;;;
359-1439;48;1100;Seal AS-Water;339-3585;Cylinder Head GP;CCR DESARME;;;
225-3099;2;1100;Gasket-Cylinder Head;339-3585;Cylinder Head GP;CCR DESARME;;;
445-8643;1;1100;Panel;339-3585;Cylinder Head GP;CCR DESARME;;;
214-7568;10;1100;Seal-O-Ring;339-3585;Cylinder Head GP;CCR DESARME;;;
6V-6609;4;1100;Seal-O-Ring;339-3585;Cylinder Head GP;CCR DESARME;;;
0L-1143;2;1304;Bolt;4N-2481;Fastener GP-Oil Pump Mounting;CCR BBA;;;
6N-0977;1;1151;Bushing;235-7134;Gear GP-Front;CCR DESARME;;;
3G-2292;5;1151;Bolt-Locking;235-7134;Gear GP-Front;CCR DESARME;;;
4N-0342;1;1151;Plate;235-7134;Gear GP-Front;CCR DESARME;;;
4H-1641;1;1151;Pin-Spring;235-7134;Gear GP-Front;CCR DESARME;;;
6N-1027;1;1151;Plate-Thrust;235-7134;Gear GP-Front;CCR DESARME;;;
7N-2443;1;1151;Washer-Thrust;235-7134;Gear GP-Front;CCR DESARME;;;
112-9217;1;1151;Plate-Thrust;235-7134;Gear GP-Front;CCR DESARME;;;
1B-8705;2;1151;Key-Woodruff;235-7134;Gear GP-Front;CCR DESARME;;;
131-7123;1;1151;Bushing;235-7134;Gear GP-Front;CCR DESARME;;;
4N-0684;2;1151;Dowel;235-7134;Gear GP-Front;CCR DESARME;;;
031-5085;6;1151;Bolt-Locking;235-7134;Gear GP-Front;CCR DESARME;;;
117-8801;2;1151;Seal-O-Ring;235-7134;Gear GP-Front;CCR DESARME;;;
5E-8771;2;1151;Seal-O-Ring;235-7134;Gear GP-Front;CCR DESARME;;;
5M-2894;3;1151;Washer-Hard;235-7134;Gear GP-Front;CCR DESARME;;;
5P-0537;6;1151;Washer-Hard;235-7134;Gear GP-Front;CCR DESARME;;;
214-1727;1;1151;Gasket;238-9862;Housing GP-Front;CCR DESARME;;;
2K-4973;1;1151;Locknut;238-9862;Housing GP-Front;CCR DESARME;;;
3K-3256;2;1151;Stud-Taperlock;238-9862;Housing GP-Front;CCR DESARME;;;
224-5322;1;1166;Hose AS;219-6921;Housing GP-Rear;CCR DESARME;;;
7N-3011;1;1166;Bushing;219-6921;Housing GP-Rear;CCR DESARME;;;
161-7293;1;1166;Gasket-Cylinder;219-6921;Housing GP-Rear;CCR DESARME;;;
061-8639;1;1166;Seal-O-Ring;219-6921;Housing GP-Rear;CCR DESARME;;;
6V-5048;2;1166;Seal-O-Ring;219-6921;Housing GP-Rear;CCR DESARME;;;
238-5080;1;1166;Seal-O-Ring;219-6921;Housing GP-Rear;CCR DESARME;;;
4C-9612;2;1166;Sealant-Silicone;219-6921;Housing GP-Rear;CCR DESARME;;;
316-9154;1;1166;Hose AS;350-8865;Housing GP-Rear;CCR DESARME;;;
7N-2155;2;1304;Bushing;7C-1772;Pump GP-Engine Oil;CCR BBA;;;
7N-2213;2;1304;Bushing;7C-1772;Pump GP-Engine Oil;CCR BBA;;;
7C-1511;1;1304;Ring-Plunger;7C-1772;Pump GP-Engine Oil;CCR BBA;;;
7G-2176;4;1304;Damper-Bolt;7C-1772;Pump GP-Engine Oil;CCR BBA;;;
