Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;T4Y_3597672;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
229-1663;1;;1204;Plate-Thrust;342-2402;Gear GP-Rear;CCR DESARME
209-8622;1;;1204;Bushing;342-2402;Gear GP-Rear;CCR DESARME
352-0140;2;;1204;Hose AS;342-2402;Gear GP-Rear;CCR DESARME
031-5085;6;;1204;Bolt-Locking;342-2402;Gear GP-Rear;CCR DESARME
117-8801;2;;1204;Seal-O-Ring;342-2402;Gear GP-Rear;CCR DESARME
214-7568;2;;1204;Seal-O-Ring;342-2402;Gear GP-Rear;CCR DESARME
238-5081;2;;1204;Seal-O-Ring;342-2402;Gear GP-Rear;CCR DESARME
297-7956;2;;1204;Elbow;342-2402;Gear GP-Rear;CCR DESARME
5E-8771;2;;1204;Seal-O-Ring;342-2402;Gear GP-Rear;CCR DESARME
5P-8429;2;;1204;Seal-O-Ring;342-2402;Gear GP-Rear;CCR DESARME
502-4034;1;;1204;Seal-O-Ring;342-2402;Gear GP-Rear;CCR DESARME
343-8888;1;;1383;Gasket;295-5198;Heater GP-Jacket Water;CCR DESARME
4N-8227;2;;1383;Cord AS-Heater Element;295-5198;Heater GP-Jacket Water;CCR DESARME
239-8051;2;;1383;Element AS-Jacket Water Heater;295-5198;Heater GP-Jacket Water;CCR DESARME
7M-8485;1;;1383;Seal-O-Ring;295-5198;Heater GP-Jacket Water;CCR DESARME
6N-1604;2;;1383;Cap AS-Dust;295-5198;Heater GP-Jacket Water;CCR DESARME
225-1242;1;;1157;Gasket;344-6497;Housing GP-Flywheel;CCR DESARME
238-5082;1;;1157;Seal-O-Ring;344-6497;Housing GP-Flywheel;CCR DESARME
214-7566;1;;1157;Seal-O-Ring;344-6497;Housing GP-Flywheel;CCR DESARME
238-5080;1;;1157;Seal-O-Ring;344-6497;Housing GP-Flywheel;CCR DESARME
214-7567;1;;1157;Seal-O-Ring;344-6497;Housing GP-Flywheel;CCR DESARME
4N-0913;1;;1307;Screen-Strainer;270-7020;Lines GP-Engine Oil;CCR DESARME
4N-0914;1;;1307;Clip;270-7020;Lines GP-Engine Oil;CCR DESARME
3P-0650;1;;1307;Seal-O-Ring;270-7020;Lines GP-Engine Oil;CCR DESARME
5P-8068;1;;1307;Seal-O-Ring;270-7020;Lines GP-Engine Oil;CCR DESARME
4N-0865;1;;1307;Gasket;354-4002;Lines GP-Engine Oil Filter;CCR DESARME
9F-6304;2;;1307;Spring;354-4002;Lines GP-Engine Oil Filter;CCR DESARME
9M-0853;2;;1307;Plunger-Valve;354-4002;Lines GP-Engine Oil Filter;CCR DESARME
399-4708;1;;1307;Hose AS;354-4002;Lines GP-Engine Oil Filter;CCR DESARME
399-4709;1;;1307;Hose AS;354-4002;Lines GP-Engine Oil Filter;CCR DESARME
113-5304;3;;1307;Seal-O-Ring;354-4002;Lines GP-Engine Oil Filter;CCR DESARME
061-7540;2;;1307;Seal-O-Ring;354-4002;Lines GP-Engine Oil Filter;CCR DESARME
5P-8068;1;;1307;Seal-O-Ring;354-4002;Lines GP-Engine Oil Filter;CCR DESARME
112-3540;2;;1307;Seal-O-Ring;354-4002;Lines GP-Engine Oil Filter;CCR DESARME
228-7096;2;;1307;Seal-O-Ring;354-4002;Lines GP-Engine Oil Filter;CCR DESARME
214-7568;8;;1274;Seal-O-Ring;353-9866;Lines GP-Fuel;CCR DESARME
322-7615;1;;1274;Hose AS;353-9866;Lines GP-Fuel;CCR DESARME
327-4448;2;;1274;Valve GP-Check;353-9866;Lines GP-Fuel;CCR DESARME
334-3801;1;;1274;Line-Fuel;353-9866;Lines GP-Fuel;CCR DESARME
375-6148;2;;1274;Hose AS;353-9866;Lines GP-Fuel;CCR DESARME
238-5080;1;;1274;Seal-O-Ring;353-9866;Lines GP-Fuel;CCR DESARME
238-5081;1;;1274;Seal-O-Ring;353-9866;Lines GP-Fuel;CCR DESARME
353-7954;4;;1274;Grommet;353-9866;Lines GP-Fuel;CCR DESARME
108-1434;12;;1261;Grommet;350-5724;Lines GP-Fuel Filter;CCR DESARME
352-2171;1;;1261;Line-Fuel;350-5724;Lines GP-Fuel Filter;CCR DESARME
375-8202;1;;1261;Hose AS;350-5724;Lines GP-Fuel Filter;CCR DESARME
238-5080;2;;1261;Seal-O-Ring;350-5724;Lines GP-Fuel Filter;CCR DESARME
238-5081;5;;1261;Seal-O-Ring;350-5724;Lines GP-Fuel Filter;CCR DESARME
3G-8047;1;;1261;Grommet;350-5724;Lines GP-Fuel Filter;CCR DESARME
3D-2824;1;;1052;Seal-O-Ring;357-5165;Lines GP-Turbocharger Oil;CCR DESARME
126-2702;2;;1052;Seal-Integral;357-5165;Lines GP-Turbocharger Oil;CCR DESARME
198-6068;2;;1052;Seal-Integral;357-5165;Lines GP-Turbocharger Oil;CCR DESARME
228-7091;2;;1052;Seal-O-Ring;357-5165;Lines GP-Turbocharger Oil;CCR DESARME
238-5081;2;;1052;Seal-O-Ring;357-5165;Lines GP-Turbocharger Oil;CCR DESARME
238-5082;1;;1052;Seal-O-Ring;357-5165;Lines GP-Turbocharger Oil;CCR DESARME
7X-7958;4;;1052;Clamp-Hose;357-5165;Lines GP-Turbocharger Oil;CCR DESARME
447-7466;2;;1052;Hose;357-5165;Lines GP-Turbocharger Oil;CCR DESARME
343-8888;1;;1380;Gasket;337-8820;Lines GP-Water;CCR DESARME
4N-1946;1;;1380;Gasket;337-8820;Lines GP-Water;CCR DESARME
0R-5513;1;;1380;Core AS-Oil Cooler;337-8820;Lines GP-Water;CCR DESARME
157-0670;1;;1380;Cap-Dust;337-8820;Lines GP-Water;CCR DESARME
109-0074;1;;1380;Seal-O-Ring;337-8820;Lines GP-Water;CCR DESARME
109-0077;2;;1380;Seal-O-Ring;337-8820;Lines GP-Water;CCR DESARME
154-9023;1;;1380;Valve-Sampling;337-8820;Lines GP-Water;CCR DESARME
200-6410;1;;1380;Seal-O-Ring;337-8820;Lines GP-Water;CCR DESARME
6V-1585;1;;1380;Seal-O-Ring;337-8820;Lines GP-Water;CCR DESARME
6V-5063;5;;1380;Seal-O-Ring;337-8820;Lines GP-Water;CCR DESARME
6V-5064;2;;1380;Seal-O-Ring;337-8820;Lines GP-Water;CCR DESARME
6V-6609;2;;1380;Seal-O-Ring;337-8820;Lines GP-Water;CCR DESARME
6V-9027;5;;1380;Seal-O-Ring;337-8820;Lines GP-Water;CCR DESARME
8T-1703;1;;1380;Seal-O-Ring;337-8820;Lines GP-Water;CCR DESARME
8T-2929;2;;1380;Seal-O-Ring;337-8820;Lines GP-Water;CCR DESARME
3B-0622;1;;1380;Plug-Cup;346-6180;Lines GP-Water;CCR DESARME
3S-9643;2;;1380;Seal-Lip Type;346-6180;Lines GP-Water;CCR DESARME
111-4374;1;;1380;Valve AS;346-6180;Lines GP-Water;CCR DESARME
279-3397;1;;1380;Seal-O-Ring;346-6180;Lines GP-Water;CCR DESARME
248-5513;2;;1380;Regulator-Water Temperature;346-6180;Lines GP-Water;CCR DESARME
107-5769;2;;1380;Seal-O-Ring;346-6180;Lines GP-Water;CCR DESARME
109-0075;1;;1380;Seal-O-Ring;346-6180;Lines GP-Water;CCR DESARME
112-5282;1;;1380;Seal-O-Ring;346-6180;Lines GP-Water;CCR DESARME
231-4708;4;;1380;Seal-O-Ring;346-6180;Lines GP-Water;CCR DESARME
109-0076;3;;1380;Seal-O-Ring;346-6180;Lines GP-Water;CCR DESARME
6V-9027;1;;1380;Seal-O-Ring;346-6180;Lines GP-Water;CCR DESARME
8T-1703;3;;1380;Seal-O-Ring;346-6180;Lines GP-Water;CCR DESARME
8N-0879;8;;1059;Clamp;343-8976;Manifold GP-Exhaust;CCR DESARME
239-1388;12;;1059;Gasket;343-8976;Manifold GP-Exhaust;CCR DESARME
243-3565;8;;1059;Seal-O-Ring;343-8976;Manifold GP-Exhaust;CCR DESARME
243-3566;4;;1059;Bellows AS;343-8976;Manifold GP-Exhaust;CCR DESARME
2N-2766;24;;1059;Locknut;343-8976;Manifold GP-Exhaust;CCR DESARME
393-5115;8;;1059;Stud-Taperlock;343-8976;Manifold GP-Exhaust;CCR DESARME
226-5613;2;;1058;Gasket;347-9437;Manifold GP-Inlet;CCR DESARME
5D-5958;2;;1058;Seal-O-Ring;347-9437;Manifold GP-Inlet;CCR DESARME
333-1207;1;;1405;Idler AS;347-7111;Mounting GP-Alternator & Compr;CCR DESARME
347-7092;1;;1405;Tensioner-Belt;347-7111;Mounting GP-Alternator & Compr;CCR DESARME
353-1648;1;;1302;Gasket-Oil Pan;358-8576;Pan GP-Oil;CCR DESARME
238-5081;1;;1302;Seal-O-Ring;358-8576;Pan GP-Oil;CCR DESARME
238-5084;1;;1302;Seal-O-Ring;358-8576;Pan GP-Oil;CCR DESARME
379-5053;1;;1302;Seal-O-Ring;358-8576;Pan GP-Oil;CCR DESARME
214-7568;3;;1201;Seal-O-Ring;351-2234;Plug GP-Cylinder Block;CCR DESARME
214-7566;2;;1201;Seal-O-Ring;351-2234;Plug GP-Cylinder Block;CCR DESARME
238-5081;1;;1201;Seal-O-Ring;351-2234;Plug GP-Cylinder Block;CCR DESARME
20R-0967;1;;1256;Pump GP-F Xfr;331-7465;Pump GP-Fuel Transfer;CCR DESARME
8C-3089;1;;1256;Seal-O-Ring;331-7465;Pump GP-Fuel Transfer;CCR DESARME
9X-7371;1;;1361;Seal-O-Ring;348-4037;Pump GP-Water;CCR DESARME
108-7930;1;;1361;Bearing AS-Roller;355-7389;Pump GP-Water;CCR DESARME
111-2721;1;;1361;Plug-Felt;355-7389;Pump GP-Water;CCR DESARME
153-1256;1;;1361;Seal-Lip Type;355-7389;Pump GP-Water;CCR DESARME
203-3831;1;;1361;Plug-Cup;355-7389;Pump GP-Water;CCR DESARME
336-2212;1;;1361;Seal AS-Water Pump;355-7389;Pump GP-Water;CCR DESARME
4M-1336;1;;1361;Ferrule;355-7389;Pump GP-Water;CCR DESARME
7K-1181;8;;1439;Strap-Cable;356-5118;Sensor GP-Engine;CCR DESARME
130-0793;3;;1439;Plug AS;356-5118;Sensor GP-Engine;CCR DESARME
277-1873;1;;1439;Clip;356-5118;Sensor GP-Engine;CCR DESARME
178-1781;2;;1439;Clip;356-5118;Sensor GP-Engine;CCR DESARME
343-6890;2;;1439;Sensor GP-Temperature;356-5118;Sensor GP-Engine;CCR DESARME
132-5789;1;;1439;Clip;356-5118;Sensor GP-Engine;CCR DESARME
