Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;MLM 3792430;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
127-2176;12;;1393;SEAL-INTEGRAL;261-7286;;CCR ENS.CLTA
241-5928;12;;1393;GASKET;261-7286;;CCR EN&CA
243-2288;8;;1393;GASKET;261-7286;;CCR EN&CA
6V-5064;2;;1393;SEAL-O-RING;261-7286;;CCR EN&CA
6V-6609;2;;1393;SEAL-O-RING;261-7286;;CCR EN&CA
6V-9027;1;;1393;SEAL-O-RING;261-7286;;CCR EN&CA
6V-9769;12;;1393;SEAL-O-RING;261-7286;;CCR ENS.CLTA
8T-6761;2;;1393;PLUG-PIPE (1-11-1/2 NPT THD);261-7286;;CCR EN&CA
8T-6762;2;;1393;PLUG-PIPE (1/2-14-THD);261-7286;;CCR EN&CA
8T-6765;2;;1393;PLUG-PIPE (1/4-18-THD);261-7286;;CCR EN&CA
9S-4181;2;;1393;PLUG (1-5/16-12-THD);261-7286;;CCR EN&CA
9S-4182;1;;1393;PLUG (7/16-20-THD);261-7286;;CCR EN&CA
9S-4185;2;;1393;PLUG (3/4-16-THD);261-7286;;CCR EN&CA
2W-0752;4;;1052;GASKET;261-6791;;CCR DESAR
108-1434;20;;1052;GROMMET;261-6791;;CCR DESAR
4P-4460;4;;1052;GASKET;261-6791;;CCR TU&EL
6K-5535;4;;1052;CLIP (SLOT);261-6791;;CCR DESAR
6K-5536;4;;1052;CLIP (TAB);261-6791;;CCR DESAR
7N-7559;4;;1052;GASKET;261-6791;;CCR TU&EL
184-3230;4;;1052;HOSE AS;261-6791;;CCR DESAR
5P-9890;8;;1052;SEAL-O-RING;261-6791;;CCR DESAR
6V-4589;2;;1052;SEAL-O-RING;261-6791;;CCR DESAR
8L-2786;4;;1052;SEAL-O-RING;261-6791;;CCR TU&EL
9S-8752;14;;1052;NUT-FULL (3/8-16-THD);261-6791;;CCR DESAR
108-1434;12;;1252;GROMMET;283-6371;;CCR DESAR
7N-6806;4;;1252;SEAL-RECTANGULAR;283-6371;;CCR DESAR
9N-4053;1;;1252;SPRING;283-6371;;CCR DESAR
114-5477;1;;1252;PLUNGER-VALVE;283-6371;;CCR DESAR
238-5081;6;;1252;SEAL-O-RING;283-6371;;CCR DESAR
250-1497;1;;1252;ELBOW;283-6371;;CCR DESAR
260-9152;1;;1252;VALVE-CHECK (FUEL);283-6371;;CCR DESAR
214-7568;24;;1252;SEAL-O-RING;283-6371;;CCR DESAR
214-7566;1;;1252;SEAL-O-RING;283-6371;;CCR DESAR
9S-4182;1;;1252;PLUG (7/16-20-THD);283-6371;;CCR DESAR
9S-8752;1;;1252;NUT-FULL (3/8-16-THD);283-6371;;CCR DESAR
238-5080;3;;1252;SEAL-O-RING;283-6371;;CCR DESAR
147-3745;6;;1380;WASHER-RETAINING;156-9753;;CCR DESAR
100-3237;12;;1380;GROMMET;156-9753;;CCR DESAR
147-3745;6;;1380;WASHER-RETAINING;156-9754;;CCR DESAR
100-3237;12;;1380;GROMMET;156-9754;;CCR DESAR
7N-5080;12;;1071;GASKET-MANIFOLD;272-2895;;CCR EN.CLT
303-1541;1;;1071;SEAL-O-RING;272-2895;;CCR EN&CA
229-5332;1;;1071;SEAL;272-2895;;CCR EN&CA
3K-0360;1;;1071;SEAL-O-RING;272-2895;;CCR EN.CLT
4S-5898;12;;1071;SEAL-O-RING;272-2895;;CCR EN.CLT
6V-5101;12;;1071;SEAL-O-RING;272-2895;;CCR EN.CLT
8T-6762;3;;1071;PLUG-PIPE (1/2-14-THD);272-2895;;CCR EN&CA
8T-6764;1;;1071;PLUG-PIPE (1/8-27-THD);272-2895;;CCR EN&CA
9S-4185;1;;1071;PLUG (3/4-16-THD);272-2895;;CCR EN.CLT
9S-8752;4;;1071;NUT-FULL (3/8-16-THD);272-2895;;CCR EN&CA
5P-3860;4;;1071;CLAMP-HOSE;262-7577;;CCR EN.CLT
5P-4869;4;;1071;CLAMP-HOSE;262-7577;;CCR EN.CLT
8N-5254;4;;1071;HOSE-REDUCER;262-7577;;CCR EN.CLT
268-4743;4;;1071;HOSE;262-7577;;CCR EN.CLT
321-5895;4;;1071;SHIELD AS;262-7577;;CCR EN.CLT
452-9342;4;;1071;CLAMP AS;262-7577;;CCR EN.CLT
216-2211;16;;1071;CLAMP;262-7577;;CCR EN.CLT
2K-4973;8;;1071;LOCKNUT (3/8-16-THD);262-7577;;CCR EN.CLT
3J-1907;2;;1071;SEAL-O-RING;262-7577;;CCR EN.CLT
6V-1943;8;;1071;BOLT-HIGH TEMPERATURE (3/8-16X1.125-IN);262-7577;;CCR EN.CLT
6V-3917;8;;1071;SEAL-O-RING;262-7577;;CCR EN.CLT
9S-4191;2;;1071;PLUG (9/16-18-THD);262-7577;;CCR EN.CLT
9S-8752;12;;1071;NUT-FULL (3/8-16-THD);262-7577;;CCR EN.CLT
2A-5220;3;;1162;PLUG (FRONT HOUSING);4P-5427;;CCR DISTRI
7N-3049;1;;1162;GASKET;4P-5427;;CCR DISTRI
3P-1896;1;;1162;PLUG-CUP;4P-5427;;CCR DISTRI
8T-6758;1;;1162;PLUG-PIPE (1/4-18-THD);4P-5427;;CCR DISTRI
8T-6765;3;;1162;PLUG-PIPE (1/4-18-THD);4P-5427;;CCR DISTRI
3S-9643;4;;1393;SEAL-LIP TYPE (WATER TEMPERATURE REGULATOR);9Y-9171;;CCR EN&CA
111-4374;1;;1393;VALVE AS;9Y-9171;;CCR EN&CA
248-5513;4;;1393;REGULATOR-TEMPERATURE (92-DEG C)(WATER);9Y-9171;;CCR EN&CA
7N-4927;1;;1393;GASKET-HOUSING COVER;9Y-9171;;CCR EN&CA
7W-6492;1;;1393;PLUG-PIPE (1/2-14-THD);9Y-9171;;CCR EN&CA
4W-3100;1;;1393;GASKET;9Y-9171;;CCR EN&CA
9S-4182;1;;1393;PLUG (7/16-20-THD);9Y-9171;;CCR EN&CA
