Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;3TZ;100-8094;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
6V-0405;4;;1157;SEAL-BONDED;167-9574;HOUSING GP-FLYWHEEL;CCR DISTRI
127-5400;2;;1207;BUSHING;334-5304;DRIVE GP-ACCESSORY -UPPER RH;CCR DISTRI
235-3546;1;;1207;SEAL-O-RING;334-5304;DRIVE GP-ACCESSORY -UPPER RH;CCR DISTRI
259-4598;1;;1207;SEAL-O-RING;334-5304;DRIVE GP-ACCESSORY -UPPER RH;CCR DISTRI
5M-2894;6;;1207;WASHER-HARD (10.2X18.5X2.5-MM THK);334-5304;DRIVE GP-ACCESSORY -UPPER RH;CCR DISTRI
5P-0840;1;;1207;SEAL-O-RING;334-5304;DRIVE GP-ACCESSORY -UPPER RH;CCR DISTRI
5P-8247;2;;1207;WASHER-HARD (17X32X3.5-MM THK);334-5304;DRIVE GP-ACCESSORY -UPPER RH;CCR DISTRI
6V-3348;1;;1207;SEAL-O-RING;334-5304;DRIVE GP-ACCESSORY -UPPER RH;CCR DISTRI
7N-7539;2;;1207;WASHER-THRUST;334-5304;DRIVE GP-ACCESSORY -UPPER RH;CCR DISTRI
9M-1974;4;;1207;WASHER-HARD (8.8X16X2-MM THK);334-5304;DRIVE GP-ACCESSORY -UPPER RH;CCR DISTRI
9X-7371;1;;1207;SEAL-O-RING;334-5304;DRIVE GP-ACCESSORY -UPPER RH;CCR DISTRI
5P-8245;2;;7174;WASHER-HARD (13.5X25.5X3-MM THK);335-4163;GUARD GP-BELT -ALTERNATOR;CCR DISTRI
501-6696;1;;7174;GUARD AS-ALTERNATOR;335-4163;GUARD GP-BELT -ALTERNATOR;CCR DISTRI
127-5400;2;;1162;BUSHING;376-3358;GEAR GP-FRONT;CCR DISTRI
140-9597;1;;1162;BUSHING;376-3358;GEAR GP-FRONT;CCR DISTRI
235-3546;1;;1162;SEAL-O-RING;376-3358;GEAR GP-FRONT;CCR DISTRI
259-4598;2;;1162;SEAL-O-RING;376-3358;GEAR GP-FRONT;CCR DISTRI
5R-7136;1;;1162;WASHER-SEALING;376-3358;GEAR GP-FRONT;CCR DISTRI
5R-7137;2;;1162;WASHER-SEALING;376-3358;GEAR GP-FRONT;CCR DISTRI
6V-3348;1;;1162;SEAL-O-RING;376-3358;GEAR GP-FRONT;CCR DISTRI
7C-3258;1;;1162;WASHER AS-THRUST;376-3358;GEAR GP-FRONT;CCR DISTRI
7N-5246;2;;1162;WASHER-THRUST;376-3358;GEAR GP-FRONT;CCR DISTRI
101-1365;1;;1204;PLATE-THRUST;380-5096;GEAR GP-REAR -CAMSHAFT DRIVE;CCR DISTRI
101-1368;2;;1204;WASHER-THRUST (19.5X106X1.9-MM THK);380-5096;GEAR GP-REAR -CAMSHAFT DRIVE;CCR DISTRI
101-1372;1;;1204;BUSHING;380-5096;GEAR GP-REAR -CAMSHAFT DRIVE;CCR DISTRI
125-9751;1;;1204;BUSHING;380-5096;GEAR GP-REAR -CAMSHAFT DRIVE;CCR DISTRI
1B-4218;6;;1162;WASHER (0.39X0.625X0.064-IN THK);381-0680;HOUSING GP-FRONT;CCR DISTRI
7N-3049;1;;1162;GASKET;381-0680;HOUSING GP-FRONT;CCR DISTRI
235-3546;1;;1151;SEAL-O-RING;522-6559;COVER GP-FRONT HOUSING;CCR DISTRI
259-4598;1;;1151;SEAL-O-RING;522-6559;COVER GP-FRONT HOUSING;CCR DISTRI
5P-0840;1;;1151;SEAL-O-RING;522-6559;COVER GP-FRONT HOUSING;CCR DISTRI
033-6042;1;;1151;SEAL-O-RING;522-6559;COVER GP-FRONT HOUSING;CCR DISTRI
3D-2824;1;;1151;SEAL-O-RING;522-6559;COVER GP-FRONT HOUSING;CCR DISTRI
3P-1896;2;;1151;PLUG-CUP (35.31-MM OD);522-6559;COVER GP-FRONT HOUSING;CCR DISTRI
6V-3348;1;;1151;SEAL-O-RING;522-6559;COVER GP-FRONT HOUSING;CCR DISTRI
8N-9885;1;;1151;GASKET-COVER (ACCESSORY DRIVE);522-6559;COVER GP-FRONT HOUSING;CCR DISTRI
127-5400;1;;1207;BUSHING;7E-7521;DRIVE GP-AUXILIARY -LOWER LH;CCR DISTRI
140-9597;1;;1207;BUSHING;7E-7521;DRIVE GP-AUXILIARY -LOWER LH;CCR DISTRI
259-4598;2;;1207;SEAL-O-RING;7E-7521;DRIVE GP-AUXILIARY -LOWER LH;CCR DISTRI
5M-2894;1;;1207;WASHER-HARD (10.2X18.5X2.5-MM THK);7E-7521;DRIVE GP-AUXILIARY -LOWER LH;CCR DISTRI
5P-0840;1;;1207;SEAL-O-RING;7E-7521;DRIVE GP-AUXILIARY -LOWER LH;CCR DISTRI
5P-8245;2;;1207;WASHER-HARD (13.5X25.5X3-MM THK);7E-7521;DRIVE GP-AUXILIARY -LOWER LH;CCR DISTRI
5R-7136;1;;1207;WASHER-SEALING;7E-7521;DRIVE GP-AUXILIARY -LOWER LH;CCR DISTRI
