Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;7KK, 10R8903;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
2P-1974;3;;1151;Stud-Taperlock;129-8349;Cover GP-Front Housing;CCR DESARME
1U-8846;3;;1151;Sealant-Gasket;129-8349;Cover GP-Front Housing;CCR DESARME
109-0072;1;;1302;Seal-O-Ring;130-5754;Cover GP-Oil Pan;CCR DESARME
4P-3117;1;;1302;Valve-Ball;130-5754;Cover GP-Oil Pan;CCR DESARME
5P-8068;1;;1302;Seal-O-Ring;130-5754;Cover GP-Oil Pan;CCR DESARME
379-5053;1;;1302;Seal-O-Ring;130-5754;Cover GP-Oil Pan;CCR DESARME
6V-9746;1;;1302;Seal-O-Ring;130-5754;Cover GP-Oil Pan;CCR DESARME
239-5572;2;;1302;Seal-Integral;130-5754;Cover GP-Oil Pan;CCR DESARME
8L-2786;1;;1302;Seal-O-Ring;130-5754;Cover GP-Oil Pan;CCR DESARME
272-2583;6;;1107;Seal-O-Ring;130-5753;Cover GP-Valve Mechanism;CCR DESARME
230-0940;12;;1107;Seal-Valve Cover;130-5753;Cover GP-Valve Mechanism;CCR DESARME
4N-4668;3;;1107;Breather AS;130-5753;Cover GP-Valve Mechanism;CCR DESARME
6V-3831;3;;1107;Seal-O-Ring;130-5753;Cover GP-Valve Mechanism;CCR DESARME
2N-8109;3;;1107;Clamp;130-5753;Cover GP-Valve Mechanism;CCR DESARME
253-1752;2;;1202;Plate-Thrust;4N-0922;Crankshaft GP;CCR BLOCK
142-5868;1;;1160;Seal-Crankshaft;319-0785;Seal GP-Crankshaft;CCR BLOCK
142-5867;1;;1160;Seal-Crankshaft;319-7401;Seal GP-Crankshaft;CCR BLOCK
225-3101;2;;1201;Gasket-Plate;109-9010;Cylinder Block GP;CCR DESARME
101-8917;26;;1201;Stud-Taperlock;109-9010;Cylinder Block GP;CCR DESARME
3B-0645;1;;1201;Plug-Cup;109-9010;Cylinder Block GP;CCR DESARME
6L-4428;3;;1201;Stud-Taperlock;109-9010;Cylinder Block GP;CCR DESARME
5P-8356;4;;1201;Seal-O-Ring;109-9010;Cylinder Block GP;CCR DESARME
3S-6605;2;;1201;Plug-Cup;109-9010;Cylinder Block GP;CCR DESARME
108-5806;4;;1100;Seal-O-Ring;108-1552;Cylinder Head GP;CCR CLT
108-5803;2;;1100;Seal-O-Ring;108-1552;Cylinder Head GP;CCR CLT
6V-5048;1;;1100;Seal-O-Ring;108-1552;Cylinder Head GP;CCR CLT
6V-5049;4;;1100;Seal-O-Ring;108-1552;Cylinder Head GP;CCR CLT
061-8561;12;;1100;Seal-O-Ring;108-1552;Cylinder Head GP;CCR CLT
6V-5266;12;;1100;Seal-O-Ring;108-1552;Cylinder Head GP;CCR CLT
107-9570;24;;1100;Seal-O-Ring;108-1552;Cylinder Head GP;CCR CLT
225-3099;2;;1100;Gasket-Cylinder Head;108-1552;Cylinder Head GP;CCR CLT
2N-7174;12;;1100;Gasket;108-1552;Cylinder Head GP;CCR CLT
1U-8846;3;;1100;Sealant-Gasket;108-1552;Cylinder Head GP;CCR CLT
033-6027;2;;1100;Seal-O-Ring;108-1552;Cylinder Head GP;CCR CLT
359-1439;48;;1100;Seal AS-Water;108-1552;Cylinder Head GP;CCR DESARME
2N-9827;1;;1359;Sleeve;7E-9665;Drive GP-Fan;CCR BBA
1F-2771;2;;1359;Ball Bearing;7E-9665;Drive GP-Fan;CCR BBA
031-0223;2;;1359;Bolt-Locking;7E-9665;Drive GP-Fan;CCR BBA
7D-7111;1;;1359;Seal-O-Ring;7E-9665;Drive GP-Fan;CCR BBA
6N-7575;1;;1359;V-Belt Set;7E-9665;Drive GP-Fan;CCR BBA
8C-5222;1;;1359;Seal-Lip Type;7E-9665;Drive GP-Fan;CCR BBA
6V-3549;1;;1714;Seal-O-Ring;125-3431;Drive GP-Unit Inj Hyd Pump;CCR DESARME
194-6722;1;;1714;Sensor GP-Pressure;125-3431;Drive GP-Unit Inj Hyd Pump;CCR EL&TU
6V-5049;1;;1714;Seal-O-Ring;125-3431;Drive GP-Unit Inj Hyd Pump;CCR DESARME
6V-4589;1;;1714;Seal-O-Ring;125-3431;Drive GP-Unit Inj Hyd Pump;CCR DESARME
5P-9890;2;;1714;Seal-O-Ring;125-3431;Drive GP-Unit Inj Hyd Pump;CCR DESARME
150-2392;1;;1714;Plate-Thrust;180-6644;Drive GP-Unit Inj Hyd Pump;CCR DESARME
180-6646;1;;1714;Gasket;180-6644;Drive GP-Unit Inj Hyd Pump;CCR DESARME
162-0152;1;;1714;Bushing;180-6644;Drive GP-Unit Inj Hyd Pump;CCR DESARME
162-0151;2;;1714;Bushing;180-6644;Drive GP-Unit Inj Hyd Pump;CCR DESARME
2A-3746;1;;1714;Plug-Cup;180-6644;Drive GP-Unit Inj Hyd Pump;CCR DESARME
162-0150;1;;1714;Bushing;180-6644;Drive GP-Unit Inj Hyd Pump;CCR DESARME
125-5835;1;;1714;Plug-Felt;180-6644;Drive GP-Unit Inj Hyd Pump;CCR DESARME
6V-5049;1;;1714;Seal-O-Ring;180-6644;Drive GP-Unit Inj Hyd Pump;CCR DESARME
031-2701;2;;1714;Bolt-Locking;180-6644;Drive GP-Unit Inj Hyd Pump;CCR DESARME
6N-2206;1;;1316;Cap AS-Filler;130-5759;Filler GP-Engine Oil;CCR DESARME
6V-3831;1;;1316;Seal-O-Ring;130-5759;Filler GP-Engine Oil;CCR DESARME
2N-8109;1;;1316;Clamp;130-5759;Filler GP-Engine Oil;CCR DESARME
1R-1808;2;;1306;Filter-Engine Oil;131-6206;Filter GP-Engine Oil;CCR DESARME
061-8561;2;;1306;Seal-O-Ring;131-6206;Filter GP-Engine Oil;CCR DESARME
8C-3445;1;;1306;Cap-Dust;131-6206;Filter GP-Engine Oil;CCR DESARME
8C-3446;1;;1306;Valve-Sampling;131-6206;Filter GP-Engine Oil;CCR DESARME
6V-5048;1;;1306;Seal-O-Ring;131-6206;Filter GP-Engine Oil;CCR DESARME
