Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;CCR R9H 3918875;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
262-0595;1;;1326;Gauge AS-Oil Level (Dipstick);262-0596;Gauge GP-Oil Level (Dipstick);CCR DESARME
228-4947;1;;1326;Seal-O-Ring;262-0596;Gauge GP-Oil Level (Dipstick);CCR DESARME
1W-4738;1;;;Bushing;277-5425;Gear GP-Rear;CCR DESARME
160-8184;1;;;Bushing;277-5425;Gear GP-Rear;CCR DESARME
277-8283;1;;;Cover;277-5425;Gear GP-Rear;CCR DESARME
4N-1230;2;;;Seal-O-Ring;277-5425;Gear GP-Rear;CCR DESARME
444-2269;1;;;Seal-Ring;227-0838;Seal GP-Crankshaft;CCR DESARME
227-0838;1;;1157;Seal GP-Crankshaft;277-4435;Housing GP-Flywheel;CCR DESARME
2A-1162;1;;1157;Gasket;277-4435;Housing GP-Flywheel;CCR DESARME
8M-9315;1;;1157;Bushing;277-4435;Housing GP-Flywheel;CCR DESARME
214-7568;1;;1157;Seal-O-Ring;277-4435;Housing GP-Flywheel;CCR DESARME
214-7566;1;;1157;Seal-O-Ring;277-4435;Housing GP-Flywheel;CCR DESARME
238-5080;1;;1157;Seal-O-Ring;277-4435;Housing GP-Flywheel;CCR DESARME
214-7567;1;;1157;Seal-O-Ring;277-4435;Housing GP-Flywheel;CCR DESARME
3F-5792;1;;1157;Seal-O-Ring;277-4435;Housing GP-Flywheel;CCR DESARME
4M-0189;1;;1157;Seal-O-Ring;277-4435;Housing GP-Flywheel;CCR DESARME
1U-8846;3;;1157;Sealant-Gasket;277-4435;Housing GP-Flywheel;CCR DESARME
4M-6480;1;;1157;Gasket;216-5540;Cover GP-Flywheel Housing;CCR DESARME
5P-6727;1;;;Ball Bearing;218-7272;Housing GP-Front;CCR DESARME
8H-9789;1;;;Ball Bearing;218-7272;Housing GP-Front;CCR DESARME
257-2015;1;;;Gasket;218-7272;Housing GP-Front;CCR DESARME
223-7852;1;;;Seal-Integral;218-7272;Housing GP-Front;CCR DESARME
226-4755;1;;;Seal GP-Crankshaft;218-7272;Housing GP-Front;CCR DESARME
