Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;340-2665;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
316-9351;1;1408;MOUNTING-CABLE TIE;359-4953;;CCR TU&EL;;;
370-3748;1;1408;HARNESS AS-ENGINE;359-4953;;CCR TU&EL;;;
132-5789;10;1408;CLIP (LADDER);359-4953;;CCR TU&EL;;;
352-3968;1;1408;CLIP (LADDER);359-4953;;CCR TU&EL;;;
352-3969;1;1408;CLIP (LADDER);359-4953;;CCR TU&EL;;;
4P-7429;1;1408;CLIP;359-4953;;CCR TU&EL;;;
4P-7581;2;1408;CLIP (LADDER);359-4953;;CCR TU&EL;;;
4P-8134;1;1408;CLIP (LADDER);359-4953;;CCR TU&EL;;;
5M-2894;21;1408;WASHER-HARD (10.2X18.5X2.5-MM THK);359-4953;;CCR TU&EL;;;
5P-8245;2;1408;WASHER-HARD (13.5X25.5X3-MM THK);359-4953;;CCR TU&EL;;;
7X-0579;1;1408;WASHER-HARD (8.8X25.5X2-MM THK);359-4953;;CCR TU&EL;;;
9M-1974;4;1408;WASHER-HARD (8.8X16X2-MM THK);359-4953;;CCR TU&EL;;;
8T-7062;6;1130;STUD-TAPERLOCK (1/2-13X55, 1/79-39292-13X21-;379-3929;;CCR DESAR;;;
7E-6508;12;1408;CAP AS;387-5515;;CCR DESAR;;;
9M-1974;32;1408;WASHER-HARD (8.8X16X2-MM THK);387-5515;;CCR DESAR;;;
6V-0128;2;1408;SEAL-CONNECTOR;249-8716;;CCR DESAR;;;
435-8537;2;1408;HARNESS AS-ENGINE;249-8716;;CCR DESAR;;;
326-4512;12;1408;MOUNTING-CABLE TIE;249-8716;;CCR DESAR;;;
123-3202;12;1408;STRAP-CABLE;249-8716;;CCR DESAR;;;
222-6456;2;1408;SEAL (VALVE COVER BASE);249-8716;;CCR DESAR;;;
8T-4205;4;1408;WASHER-HARD (7.2X14.5X2-MM THK);249-8716;;CCR DESAR;;;
253-1752;2;1202;PLATE-THRUST;224-3250;;CCR BLK;;;
4N-0684;1;1202;DOWEL;224-3250;;CCR BLK;;;
142-5867;1;1160;SEAL-CRANKSHAFT (FRONT);319-7401;;CCR BLK;;;
354-8484;2;1201;GASKET-PLATE;349-2859;;CCR BLK;;;
240-9543;14;1201;WASHER (12.45X22.35X1.82-MM THK);349-2859;;CCR BLK;;;
5P-8356;4;1201;SEAL-O-RING;349-2859;;CCR BLK;;;
238-5082;1;1201;SEAL-O-RING;349-2859;;CCR BLK;;;
6L-4428;3;1201;STUD-TAPERLOCK (3/8-16X4.01-IN);349-2859;;CCR BLK;;;
214-7566;1;1201;SEAL-O-RING;349-2859;;CCR BLK;;;
3B-0645;1;1201;PLUG-CUP (32.08-MM OD);349-2859;;CCR BLK;;;
9L-5854;12;1201;BAND-FILLER (130.2-MM ID);348-9906;;CCR P&B;;;
155-0809;12;1201;SEAL-LINER;348-9906;;CCR P&B;;;
155-0810;12;1201;SEAL-LINER;348-9906;;CCR P&B;;;
155-2793;12;1201;SEAL-LINER;348-9906;;CCR P&B;;;
225-5966;1;1201;SLEEVE;348-9904;;CCR BLK;;;
6V-6609;1;1201;SEAL-O-RING;348-9904;;CCR BLK;;;
4N-0685;1;1201;BUSHING (1-IN WIDE);348-9904;;CCR BLK;;;
4N-6658;1;1201;BUSHING (1.3-IN WIDE);348-9904;;CCR BLK;;;
