Serial;Number;or;Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes
0;;BXY_20R-4097_988;;;;;;;
;;;;;;;;;
Part;No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note;
8C-5230;2;1307;Seal-O-Ring;219-4443;Lines GP-Engine Oil;CCR  DESARME;;;
109-0072;1;1307;Seal-O-Ring;291-6821;Lines GP-Engine Oil;CCR  DESARME;;;
109-0078;1;1307;Seal-O-Ring;291-6821;Lines GP-Engine Oil;CCR  DESARME;;;
283-1721;1;1274;Hose AS;314-5164;Lines GP-Fuel;CCR  DESARME;;;
322-1945;1;1274;Hose AS;314-5164;Lines GP-Fuel;CCR  DESARME;;;
328-2929;1;1274;Hose AS;314-5164;Lines GP-Fuel;CCR  DESARME;;;
214-7568;5;1274;Seal-O-Ring;314-5164;Lines GP-Fuel;CCR  DESARME;;;
228-7089;1;1274;Seal-O-Ring;314-5164;Lines GP-Fuel;CCR  DESARME;;;
238-5080;1;1274;Seal-O-Ring;314-5164;Lines GP-Fuel;CCR  DESARME;;;
4P-7581;1;1274;Clip;314-5164;Lines GP-Fuel;CCR  DESARME;;;
7V-6571;4;1274;Grommet;314-5164;Lines GP-Fuel;CCR  DESARME;;;
214-7568;1;1274;Seal-O-Ring;193-7404;Manifold GP-Fuel;CCR  DESARME;;;
6V-6609;2;1274;Seal-O-Ring;193-7404;Manifold GP-Fuel;CCR  DESARME;;;
7N-7559;1;1052;Gasket;235-1054;Lines GP-Turbocharger Oil;CCR  DESARME;;;
210-9246;1;1052;Seal-O-Ring;235-1054;Lines GP-Turbocharger Oil;CCR  DESARME;;;
242-3375;1;1052;Hose AS;235-1054;Lines GP-Turbocharger Oil;CCR  DESARME;;;
242-3376;1;1052;Hose AS;235-1054;Lines GP-Turbocharger Oil;CCR  DESARME;;;
4P-4460;1;1052;Gasket;235-1054;Lines GP-Turbocharger Oil;CCR  DESARME;;;
6V-8397;1;1052;Seal-O-Ring;235-1054;Lines GP-Turbocharger Oil;CCR  DESARME;;;
8L-2786;1;1052;Seal-O-Ring;235-1054;Lines GP-Turbocharger Oil;CCR  DESARME;;;
2S-0795;2;1380;Gasket;281-7060;Lines GP-Water;CCR  DESARME;;;
3S-9643;2;1380;Seal-Lip Type;281-7060;Lines GP-Water;CCR  DESARME;;;
4N-1156;1;1380;Gasket-Regulator Cover;281-7060;Lines GP-Water;CCR  DESARME;;;
4N-3841;1;1380;Gasket;281-7060;Lines GP-Water;CCR  DESARME;;;
8T-4983;2;1380;Clamp-Hose;281-7060;Lines GP-Water;CCR  DESARME;;;
9Y-4104;1;1380;Hose;281-7060;Lines GP-Water;CCR  DESARME;;;
125-0434;1;1380;Seal-Integral;281-7060;Lines GP-Water;CCR  DESARME;;;
126-4935;1;1380;Seal-Integral;281-7060;Lines GP-Water;CCR  DESARME;;;
139-3550;1;1380;Gasket-Regulator;281-7060;Lines GP-Water;CCR  DESARME;;;
3J-7354;1;1380;Seal-O-Ring;281-7060;Lines GP-Water;CCR  DESARME;;;
154-9023;1;1380;Valve-Sampling;281-7060;Lines GP-Water;CCR  DESARME;;;
157-0670;1;1380;Cap-Dust;281-7060;Lines GP-Water;CCR  DESARME;;;
248-5513;2;1380;Regulator-Water Temperature;281-7060;Lines GP-Water;CCR  DESARME;;;
0S-1591;3;1380;Bolt;281-7060;Lines GP-Water;CCR  DESARME;;;
109-0077;3;1380;Seal-O-Ring;281-7060;Lines GP-Water;CCR  DESARME;;;
214-7566;1;1380;Seal-O-Ring;281-7060;Lines GP-Water;CCR  DESARME;;;
6V-6609;6;1380;Seal-O-Ring;281-7060;Lines GP-Water;CCR  DESARME;;;
6V-5063;2;1380;Seal-O-Ring;281-7060;Lines GP-Water;CCR  DESARME;;;
6V-5064;2;1380;Seal-O-Ring;281-7060;Lines GP-Water;CCR  DESARME;;;
125-5835;1;5736;Plug-Felt;299-7327;Mounting GP-Sensor;CCR  DESARME;;;
6V-3683;1;5736;Seal-O-Ring;299-7327;Mounting GP-Sensor;CCR  DESARME;;;
214-7566;1;5736;Seal-O-Ring;299-7327;Mounting GP-Sensor;CCR  DESARME;;;
8J-4351;1;5736;Seal-O-Ring;299-7327;Mounting GP-Sensor;CCR  DESARME;;;
6V-3830;1;1302;Seal-O-Ring;175-3860;Pan GP-Oil;CCR  DESARME;;;
109-0076;1;1302;Seal-O-Ring;175-3860;Pan GP-Oil;CCR  DESARME;;;
353-5065;2;1302;Gasket-Oil Pan;175-3860;Pan GP-Oil;CCR  DESARME;;;
238-5084;5;1302;Seal-O-Ring;175-3860;Pan GP-Oil;CCR  DESARME;;;
7E-4342;1;1302;Gasket;335-1893;Pan GP-Oil;CCR  DESARME;;;
173-1957;1;1801;Panel AS;174-3874;Panel GP-Sound Suppression;CCR  DESARME;;;
