Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;20R4691 24M B93;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
326-4512;6;;1408;MOUNTING-CABLE TIE;234-5005;;CCR DESAR
8T-9655;6;;1274;MOUNT-ISOLATION;356-8380;;CCR DESAR
173-1957;1;;7261;PANEL AS;174-3874;;CCR DESAR
112-9217;1;;1162;PLATE-THRUST;207-0449;;CCR DESAR
6I-3624;2;;1162;PLATE-THRUST;207-0449;;CCR DESAR
102-5861;1;;1162;PLATE-THRUST;207-0449;;CCR DESAR
392-9208;1;;1307;PLUNGER-VALVE (RELIEF);219-4443;;CCR DESAR
392-9208;1;;1306;PLUNGER-VALVE (RELIEF);292-4057;;CCR DESAR
248-5513;2;;1350;REGULATOR-TEMPERATURE (92-DEG C)(COOLANT);274-9994;;CCR DESAR
297-1813;12;;1151;SCREW-HEAD (5/16-18X1-IN);159-6159;;CCR DESAR
160-7271;1;;1151;SEAL;159-6159;;CCR DESAR
272-0390;1;;1408;SEAL;234-5005;;CCR DESAR
142-2329;1;;1201;SEAL;358-6883;;CCR DESAR
3E-6772;24;;1100;SEAL (WATER);432-5472;;CCR DESAR
6V-0128;1;;1408;SEAL-CONNECTOR;234-5005;;CCR DESAR
126-4935;1;;1201;SEAL-INTEGRAL;140-9746;;CCR DESAR
155-9524;1;;1162;SEAL-INTEGRAL;243-5786;;CCR DESAR
126-2702;1;;1052;SEAL-INTEGRAL;262-9967;;CCR DESAR
198-6068;1;;1052;SEAL-INTEGRAL;262-9967;;CCR DESAR
125-0434;1;;1350;SEAL-INTEGRAL;274-9994;;CCR DESAR
126-4935;1;;1350;SEAL-INTEGRAL;274-9994;;CCR DESAR
234-8937;1;;1157;SEAL-INTEGRAL;380-6962;;CCR DESAR
3S-9643;2;;1350;SEAL-LIP TYPE (WATER TEMPERATURE REGULATOR);274-9994;;CCR DESAR
061-9455;1;;1151;SEAL-O-RING;120-9847;;CCR DESAR
107-5769;2;;1256;SEAL-O-RING;150-4279;;CCR DESAR
214-7568;1;;1380;SEAL-O-RING;193-7404;;CCR DESAR
