Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;4319497;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
214-7568;1;;1715;SEAL-O-RING;352-8928;;CCR DESAR
238-5080;1;;1715;SEAL-O-RING;352-8928;;CCR DESAR
331-6882;1;;1715;REGULATOR GP-FUEL PRESSURE;331-6882;;CCR DESAR
327-0376;1;;1715;VALVE GP-CHECK;331-6882;;CCR DESAR
238-5081;1;;1715;SEAL-O-RING;331-6882;;CCR DESAR
8S-9191;6;;1290;BOLT (3/8-16X4-IN);235-1401;;CCR DESAR
230-3728;6;;1290;SEAL-O-RING;374-0750;;CCR DESAR
230-3775;6;;1290;SEAL-O-RING;374-0750;;CCR DESAR
9X-7317;6;;1290;SEAL-O-RING;374-0750;;CCR DESAR
357-1752;1;;1052;GASKET-TURBOCHARGER;262-2943;;CCR DESAR
375-2467;4;;1052;LOCKNUT-FLANGE (M10X1.5-THD);262-2943;;CCR DESAR
7N-7559;1;;1052;GASKET;220-3490;;CCR DESAR
242-3375;1;;1052;HOSE AS;220-3490;;CCR DESAR
114-2687;1;;1052;SEAL-O-RING;220-3490;;CCR DESAR
4P-4460;1;;1052;GASKET;220-3490;;CCR DESAR
5M-2894;6;;1052;WASHER-HARD (10.2X18.5X2.5-MM THK);220-3490;;CCR DESAR
228-7089;1;;1052;SEAL-O-RING;220-3490;;CCR DESAR
238-5080;1;;1052;SEAL-O-RING;220-3490;;CCR DESAR
230-3775;1;;1052;SEAL-O-RING;220-3490;;CCR DESAR
214-7568;2;;1306;SEAL-O-RING;121-2471;;CCR DESAR
238-5084;1;;1306;SEAL-O-RING;121-2471;;CCR DESAR
392-9208;2;;1306;PLUNGER-VALVE (RELIEF);121-2471;;CCR DESAR
4N-8150;2;;1306;SPRING;121-2471;;CCR DESAR
061-7540;2;;1308;SEAL-O-RING;155-4800;;CCR DESAR
5M-2894;4;;1308;WASHER-HARD (10.2X18.5X2.5-MM THK);155-4800;;CCR DESAR
3T-6469;1;;1307;WASHER (19X26X1.6-MM THK);160-6894;;CCR DESAR
255-1257;1;;1307;HOSE AS;160-6894;;CCR DESAR
214-7568;1;;1307;SEAL-O-RING;160-6894;;CCR DESAR
238-5081;1;;1307;SEAL-O-RING;160-6894;;CCR DESAR
0S-1591;2;;1307;BOLT (3/8-16X1.5-IN);160-6894;;CCR DESAR
5P-5846;1;;1307;SEAL-O-RING;160-6894;;CCR DESAR
109-0076;1;;1307;SEAL-O-RING;160-6894;;CCR DESAR
5P-8068;2;;1307;SEAL-O-RING;160-6894;;CCR DESAR
114-2687;3;;1307;SEAL-O-RING;160-6894;;CCR DESAR
2K-4973;2;;1307;LOCKNUT (3/8-16-THD);160-6894;;CCR DESAR
6V-5134;1;;1307;SEAL-O-RING;160-6894;;CCR DESAR
341-9211;4;;1052;GASKET;220-3493;;CCR DESAR
335-4198;1;;1052;HOSE AS;220-3493;;CCR DESAR
5M-2894;9;;1052;WASHER-HARD (10.2X18.5X2.5-MM THK);220-3493;;CCR DESAR
6V-5063;1;;1052;SEAL-O-RING;220-3493;;CCR DESAR
180-8424;3;;1052;SEAL-O-RING;220-3493;;CCR DESAR
6V-6609;1;;1052;SEAL-O-RING;220-3493;;CCR DESAR
3S-9643;2;;1355;SEAL-LIP TYPE (TEMPERATURE REGULATOR HOUSING;228-4224;;CCR DESAR
4N-1156;1;;1355;GASKET-REGULATOR COVER (TEMPERATURE REGULATO;228-4224;;CCR DESAR
125-0434;1;;1355;SEAL-INTEGRAL;228-4224;;CCR DESAR
126-4935;2;;1355;SEAL-INTEGRAL;228-4224;;CCR DESAR
139-3550;1;;1355;GASKET-REGULATOR (HOUSING);228-4224;;CCR DESAR
197-8006;1;;1355;SEAL-O-RING;228-4224;;CCR DESAR
223-9257;1;;1355;HOSE;228-4224;;CCR DESAR
248-5513;2;;1355;REGULATOR-TEMPERATURE (92-DEG C)(COOLANT);228-4224;;CCR DESAR
6V-6609;2;;1355;SEAL-O-RING;228-4224;;CCR DESAR
6V-5063;1;;1355;SEAL-O-RING;228-4224;;CCR DESAR
109-0077;2;;1355;SEAL-O-RING;228-4224;;CCR DESAR
6V-3250;1;;1355;SEAL-O-RING;228-4224;;CCR DESAR
6V-9027;1;;1355;SEAL-O-RING;228-4224;;CCR DESAR
6V-3251;1;;1355;SEAL-O-RING;228-4224;;CCR DESAR
291-8144;1;;1355;SEAL-O-RING;228-4224;;CCR DESAR
5M-2894;11;;1355;WASHER-HARD (10.2X18.5X2.5-MM THK);228-4224;;CCR DESAR
291-8145;1;;1355;SEAL-O-RING;228-4224;;CCR DESAR
8T-6703;2;;1355;CLAMP-HOSE;228-4224;;CCR DESAR
122-3772;1;;1361;SEAL-O-RING (WATER PUMP);280-8039;;CCR BBA
155-9524;1;;1162;SEAL-INTEGRAL;241-0164;;CCR DESAR
166-9144;1;;1162;GASKET;241-0164;;CCR DESAR
5M-2894;21;;1162;WASHER-HARD (10.2X18.5X2.5-MM THK);241-0164;;CCR DESAR
5P-4255;8;;1162;BOLT-LOCKING (3/8-16X1-IN);241-0164;;CCR DESAR
126-1757;9;;1162;WASHER (10.85X19.3X1.27-MM THK);353-9982;;CCR DESAR
129-5427;2;;1162;WASHER-SPECIAL (SEALING);353-9982;;CCR DESAR
334-6832;2;;1162;STUD-SPECIAL (BRAKE);353-9982;;CCR DESAR
297-1813;12;;1150;SCREW-HEAD (5/16-18X1-IN);159-6159;;CCR DESAR
160-7271;1;;1150;SEAL;159-6159;;CCR DESAR
031-4155;2;;1150;LOCKNUT (5/16-18-THD)(MARKED X);159-6159;;CCR DESAR
238-5078;2;;1150;SEAL-O-RING (MARKED X);159-6159;;CCR DESAR
9M-1974;2;;1150;WASHER-HARD (8.8X16X2-MM THK);120-9847;;CCR DESAR
061-9455;1;;1150;SEAL-O-RING;120-9847;;CCR DESAR
5M-2894;1;;1071;WASHER-HARD (10.2X18.5X2.5-MM THK);263-1129;;CCR DESAR
101-3125;1;;1071;GASKET (AIR INLET MANIFOLD);263-1129;;CCR DESAR
127-0929;1;;1071;CLAMP-V BAND;126-0081;;CCR DESAR
214-7566;1;;1071;SEAL-O-RING;126-0081;;CCR DESAR
8C-3089;1;;1071;SEAL-O-RING;126-0081;;CCR DESAR
5M-2894;5;;1405;WASHER-HARD (10.2X18.5X2.5-MM THK);227-3503;;CCRTU&EL
