Serial Number or Prefix;Product;Order ID;Work Order;Segment;Operation;Additional Notes;
0;;9SD - 3847799;;;;;
;;;;;;;
Part No.;Qty;Type;SMCS;Part Name;Group No.;Group Name;Note
9S-8006;1;;1201;PLUG (7/8-14-THD);269-6164;;CCR
6V-6609;1;;1201;SEAL-O-RING;269-6164;;CCR
9S-8005;1;;1201;PLUG (3/4-16-THD);269-6164;;CCR
5R-7276;1;;1359;V-BELT SET;268-6661;;CCR
5M-2894;6;;1359;WASHER-HARD (10.2X18.5X2.5-MM THK);268-6661;;CCR
9F-4446;1;;1359;SEAL-O-RING;268-6661;;CCR
20R-1525;1;;1256;PUMP GP-F XFR -A;384-8612;;CCR
5M-2894;2;;1256;WASHER-HARD (10.2X18.5X2.5-MM THK);227-5723;;CCR
5P-4889;1;;1256;SEAL-O-RING;227-5723;;CCR
100-5421;1;;1160;SEAL GP-CRANKSHAFT;124-2661;;CCR
444-2269;1;;1160;SEAL-RING;124-2661;;CCR
9X-8267;13;;1160;WASHER (6.6X12X2-MM THK);124-2661;;CCR
7C-1583;1;;1160;GASKET;124-2661;;CCR
294-6007;7;;1160;BOLT-HEAD LOCKING (M6X1X18-MM);124-2661;;CCR
106-1565;1;;1160;PLUG;124-2661;;CCR
8Y-9603;1;;1453;CABLE AS-STARTING MOTOR;419-6895;;CCR
9Y-6089;1;;1453;GASKET;419-6895;;CCR
8T-4224;1;;1453;WASHER-HARD (8.8X16X2-MM THK);419-6895;;CCR
20R-3250;1;;1453;MOTOR GP-ELEC -C;419-6895;;CCR
281-8975;8;;1152;BOLT-FLANGE HEAD;180-7144;;CCR
274-6851;1;;1052;GASKET-TURBOCHARGER;388-1996;;CCR
375-2467;4;;1052;LOCKNUT-FLANGE (M10X1.5-THD);388-1996;;CCR
3S-2093;3;;1408;STRAP-CABLE;417-5560;;CCR
7K-1181;1;;1408;STRAP-CABLE;417-5560;;CCR
284-8381;1;;1408;SWITCH AS-TOGGLE (FUEL FILTER);417-5560;;CCR
417-5561;1;;1408;HARNESS AS-ENGINE;417-5560;;CCR
033-8248;1;;1408;CLIP (LOOP);417-5560;;CCR
130-5300;4;;1408;CLIP;417-5560;;CCR
132-5789;1;;1408;CLIP (LADDER);417-5560;;CCR
149-7738;1;;1408;CLIP (LOOP)(LOOP);417-5560;;CCR
156-6175;1;;1408;CLIP (LADDER);417-5560;;CCR
5P-9085;3;;1408;CLIP (LOOP)(LOOP);417-5560;;CCR
351-4320;1;;1408;CLIP (LOOP)(LOOP);417-5560;;CCR
3E-4352;3;;1408;WASHER-HARD (8.8X20.5X2.5-MM THK);417-5560;;CCR
3S-8665;1;;1408;CLIP (LOOP)(LOOP);417-5560;;CCR
4D-9517;1;;1408;CLIP;417-5560;;CCR
4I-0472;1;;1408;CLIP;417-5560;;CCR
4P-7428;1;;1408;CLIP (LADDER)(LADDER);417-5560;;CCR
4P-8134;1;;1408;CLIP (LADDER);417-5560;;CCR
5P-2369;1;;1408;CLIP (LOOP);417-5560;;CCR
